,TF-IDF
отец,0.006467191373856812
отчего,0.006467191373856812
зачем,0.006420997149757835
нынче,0.006374802925658858
комнату,0.006374802925658858
стояли,0.006374802925658858
пор,0.006328608701559881
мысли,0.006328608701559881
место,0.006328608701559881
любви,0.006282414477460903
чтоб,0.006282414477460903
ростовых,0.006282414477460903
положение,0.006282414477460903
весело,0.006236220253361927
подле,0.006236220253361927
руками,0.006236220253361927
бог,0.006190026029262949
говорят,0.006190026029262949
me,0.006190026029262949
самое,0.006143831805163972
думала,0.006143831805163972
оно,0.006143831805163972
часто,0.006143831805163972
русских,0.006097637581064995
иногда,0.006097637581064995
глаз,0.006097637581064995
поехал,0.006051443356966018
сторон,0.006051443356966018
двух,0.006051443356966018
сына,0.006051443356966018
крикнул,0.006051443356966018
войны,0.00600524913286704
молча,0.005959054908768063
доме,0.005959054908768063
княжны,0.005959054908768063
знает,0.005959054908768063
адъютант,0.005959054908768063
стало,0.005959054908768063
русские,0.005959054908768063
всей,0.005912860684669086
душе,0.005912860684669086
могли,0.0058666664605701085
голоса,0.0058666664605701085
знать,0.005820472236471131
увидал,0.005820472236471131
люблю,0.005820472236471131
lle,0.005820472236471131
ясно,0.005774278012372154
наташу,0.005774278012372154
этому,0.005774278012372154
каждый,0.005728083788273177
могло,0.005728083788273177
движения,0.005681889564174199
bourienne,0.005681889564174199
дороге,0.005681889564174199
понять,0.005681889564174199
en,0.005681889564174199
княгиня,0.005635695340075223
ma,0.005635695340075223
знаете,0.005589501115976245
начал,0.005589501115976245
рукой,0.005589501115976245
какое,0.005543306891877268
qu,0.005543306891877268
скоро,0.005543306891877268
слишком,0.005543306891877268
около,0.005543306891877268
слово,0.005543306891877268
долохова,0.00549711266777829
знала,0.00549711266777829
ко,0.00549711266777829
сражение,0.00549711266777829
понял,0.00549711266777829
закричал,0.005450918443679314
ними,0.005450918443679314
мимо,0.005450918443679314
какая,0.005404724219580336
поспешно,0.005404724219580336
наташе,0.005404724219580336
завтра,0.005404724219580336
ноги,0.005404724219580336
взгляд,0.005404724219580336
имел,0.005404724219580336
