index;File1_Word_Frequency;File1_Bigram_Frequency;File2_Word_Frequency;File2_Bigram_Frequency
450 тысяч;0;0;0;2
5;2;0;0;0
50;2;0;5;0
50 инженерных;0;0;0;1
50 миллиардов;0;0;0;1
50 наиболее;0;1;0;0
50 обходов;0;0;0;1
50 процентов;0;1;0;0
50 таких;0;0;0;2
500;0;0;1;0
500 миллиардов;0;0;0;1
53;0;0;1;0
53 регионах;0;0;0;1
6;1;0;0;0
630;0;0;1;0
630 тысяч;0;0;0;1
65;0;0;2;0
65 миллиардов;0;0;0;1
65 процентах;0;0;0;1
66;0;0;2;0
66 миллиардов;0;0;0;1
66 процентов;0;0;0;1
70;1;0;1;0
70 лет;0;1;0;0
70 летие;0;1;0;0
70 процентов;0;0;0;1
700;0;0;1;0
700 миллиардов;0;0;0;1
71;1;0;0;0
71 год;0;1;0;0
72 миллиона;0;0;0;1
73;0;0;1;0
73 года;0;0;0;1
730;0;0;1;0
730 тысяч;0;0;0;1
74;1;0;0;0
74 лет;0;1;0;0
75;0;0;2;0
75 аэропортов;0;0;0;1
75 миллиардов;0;0;0;1
78;0;0;1;0
78 лет;0;0;0;1
8;1;0;0;0
80;0;0;2;0
80 годы;0;0;0;1
80 объектов;0;0;0;1
80 плюс;0;0;0;1
800;0;0;1;0
800 общежитий;0;0;0;1
85;0;0;1;0
85 процентов;0;0;0;1
9;0;0;2;0
90;0;0;1;0
90 годов;0;1;0;1
90 начале;0;1;0;0
90 процентов;0;0;0;1
900;0;0;1;0
900 тысяч;0;0;0;1
as;0;0;1;0
as usual;0;0;0;1
business;0;0;1;0
business as;0;0;0;1
gov ru;0;1;0;0
it;0;0;1;0
it превышает;0;0;0;1
it решения;0;0;0;1
pravo gov;0;1;0;0
ru российская;0;1;0;0
usual;0;0;1;0
usual там;0;0;0;1
а;27;0;75;0
абсолютно;5;0;4;0
абсолютно краеугольным;0;1;0;0
абсолютно легитимного;0;2;0;0
абсолютно необходимое;0;1;0;0
абсолютно необходимые;0;0;0;1
абсолютно очевидная;0;0;0;1
абсолютно очевидной;0;1;0;0
абсолютно реалистичная;0;0;0;1
абсолютно системный;0;0;0;1
абсолютное;1;0;2;0
абсолютное большинство;0;1;0;2
авангард;0;0;1;0
авангард лазерные;0;0;0;1
авансирование;1;0;0;0
авансирование производится;0;1;0;0
аварийного;0;0;2;0
аварийного жилья;0;0;0;2
авиа судостроения;0;0;0;1
авиакомпаний;0;0;1;0
авиакомпаний за;0;0;0;1
авиаперелёты;0;0;1;0
авиаперелёты нужно;0;0;0;1
авиасообщения;0;0;1;0
авиасообщения россии;0;0;0;1
авиационного;0;0;1;0
авиационного транспорта;0;0;0;1
авиационную;0;0;1;0
авиационную мобильность;0;0;0;1
авиационные;0;0;1;0
авиационные морские;0;0;0;1
авиационный;0;0;1;0
авиационный комплекс;0;0;0;1
автобусов;0;0;3;0
автобусов ещё;0;0;0;1
автобусов темпами;0;0;0;1
автобусов троллейбусов;0;0;0;1
автодорожный;0;0;1;0
автодорожный проект;0;0;0;1
автоматизацию;0;0;1;0
автоматизацию 2030;0;0;0;1
автоматически;0;0;1;0
автоматически без;0;0;0;1
автомобильное;0;0;1;0
автомобильное движение;0;0;0;1
автомобильные;0;0;1;0
автомобильные маршруты;0;0;0;1
автономной;0;0;1;0
автономной области;0;0;0;1
авторскими;0;0;1;0
авторскими методиками;0;0;0;1
агентства;1;0;0;0
агентства стратегических;0;1;0;0
агентству;1;0;0;0
агентству стратегических;0;1;0;0
агломераций;0;0;2;0
агломераций подготовлены;0;0;0;1
агломераций промышленных;0;0;0;1
агломерациях;0;0;1;0
агломерациях надо;0;0;0;1
аграрной;1;0;0;0
аграрной туристической;0;1;0;0
аграрные;1;0;0;0
аграрные предприятия;0;1;0;0
агрессивно;1;0;0;0
агрессивно несмотря;0;1;0;0
агрессии;0;0;1;0
агрессии против;0;0;0;1
агрессию;0;0;1;0
агрессию международного;0;0;0;1
агропромышленном;0;0;1;0
агропромышленном комплексе;0;0;0;1
административные;1;0;0;0
административные нужно;0;1;0;0
административным;1;0;0;0
административным преследованием;0;1;0;0
администрации;0;0;1;0
администрации президента;0;0;0;1
адрес;1;0;1;0
адрес паралимпийцев;0;1;0;0
адрес россии;0;0;0;1
азиатско тихоокеанский;0;1;0;0
азии;0;0;1;0
азии его;0;0;0;1
азовского;0;0;2;0
азовского чёрного;0;0;0;2
академии;0;0;4;0
академии дорогие;0;0;0;1
академии народного;0;0;0;1
академии наук;0;0;0;1
академии считаю;0;0;0;1
академию;1;0;0;0
академию наук;0;1;0;0
аккуратно;1;0;0;0
аккуратно создать;0;1;0;0
активная;0;0;1;0
активная жизнь;0;0;0;1
активнее;1;0;0;0
активнее граждане;0;1;0;0
активно;4;0;6;0
активно включилась;0;1;0;0
активно использовать;0;1;0;3
активно конструктивно;0;1;0;0
активно подключаются;0;0;0;1
активно продвигать;0;1;0;0
активно развиваться;0;0;0;1
активно растут;0;0;0;1
активного;0;0;1;0
активного роста;0;0;0;1
активной;0;0;1;0
активной жизни;0;0;0;1
активности;1;0;0;0
активности надо;0;1;0;0
активность;1;0;0;0
активность на;0;1;0;0
активов;0;0;3;0
активов капиталов;0;0;0;1
активов своих;0;0;0;1
активов страны;0;0;0;1
актуальна;1;0;0;0
актуальна не;0;1;0;0
актуальная;0;0;1;0
актуальная прежде;0;0;0;1
актуальных;0;0;1;0
актуальных задач;0;0;0;1
акцент;1;0;2;0
акцент на;0;1;0;1
акцент сделаем;0;0;0;1
акцентом;0;0;1;0
акцентом на;0;0;0;1
акций;1;0;1;0
акций должны;0;1;0;0
акций компаний;0;0;0;1
акционерного;0;0;2;0
акционерного капитала;0;0;0;1
акционерного финансирования;0;0;0;1
акция;0;0;1;0
акция мы;0;0;0;1
акциях;0;0;1;0
акциях конечно;0;0;0;1
алгоритмы;0;0;1;0
алгоритмы искусственного;0;0;0;1
алкоголя;0;0;2;0
алкоголя прежде;0;0;0;1
алкоголя это;0;0;0;1
алтай;0;0;1;0
алтай камчатка;0;0;0;1
альтернативные;1;0;0;0
альтернативные меры;0;1;0;0
альянс;0;0;1;0
альянс швеции;0;0;0;1
алюминиевый;0;0;1;0
алюминиевый завод;0;0;0;1
американскими;2;0;0;0
американскими европейскими;0;1;0;0
американскими покровителями;0;1;0;0
американских;1;0;1;0
американских властей;0;0;0;1
американских друзей;0;1;0;0
американского;1;0;0;0
американского континента;0;1;0;0
америке;0;0;1;0
америке выгодно;0;0;0;1
америки;0;0;1;0
америки по;0;0;0;1
америкой;1;0;0;0
америкой при;0;1;0;0
амнистии;0;0;2;0
амнистии кроме;0;0;0;1
амнистии отношении;0;0;0;1
амнистию;1;0;0;0
амнистию капиталов;0;1;0;0
амнистия;1;0;0;0
амнистия это;0;1;0;0
амортизации;0;0;1;0
амортизации она;0;0;0;1
амурской;0;0;1;0
амурской областей;0;0;0;1
аналогии;1;0;1;0
