id,Word,Frequency
396,зачем,440
397,богом,198
398,тебя,3003
399,значит,462
400,бог,1133
401,бережет,11
402,ж,4235
403,знамо,44
404,вас,1826
405,свекор,121
406,хозяин,286
407,мой,1705
408,братенек,22
409,молодой,539
410,мальчик,264
411,бабато,11
412,ты,11308
413,свекруху,11
414,весной,22
415,схоронили,66
416,парня,99
417,еще,4543
418,осень,66
419,женить,33
420,будем,220
421,они,2299
422,парнишка,11
423,гон,11
424,утресь,11
425,поехал,187
426,купцов,66
427,повез,33
428,бывал,66
429,хозяином,33
430,тут,2838
431,суседа,11
432,следство,11
433,становому,44
434,пошли,539
435,какое,396
436,следствие,22
437,намедни,55
438,какогото,55
439,проезжего,11
440,лесу,121
441,чумадан,11
442,срезали,11
443,срезал,33
444,знает,869
445,неш,385
446,мало,418
447,всякого,275
448,народа,132
449,теперь,2959
450,болтается,11
451,ярманка,11
452,придут,55
453,от,4554
454,чиновникато,11
455,плюнула,77
456,пальца,33
457,сорвала,11
458,ими,55
459,нагоревшую,11
460,светильню,11
461,свечки,22
462,должно,352
463,будет,1507
464,даве,11
465,светло,110
466,выпили,88
467,чашке,11
468,дворе,495
469,скрипнули,55
470,ворота,297
471,послышался,66
472,говор,33
473,вошел,264
474,высокий,88
475,мужик,297
476,столько,176
477,суровым,22
478,сколько,352
479,раздосадованным,11
480,сердитым,11
481,поклонился,55
482,прошел,132
483,прямо,407
484,микитка,11
485,бабы,583
486,както,374
487,нетерпеливо,110
488,раздражительно,22
489,чего,2024
490,огнято,11
491,зажжешь,11
492,собирай,22
493,вечерять,22
494,снова,550
495,показался,88
496,дверях,22
497,избы,121
498,говоря,110
499,приветственного,11
500,слова,660
501,сказал,2134
502,тарантасто,11
503,двор,440
504,бы,3322
505,втянуть,11
506,самая,88
507,проговорил,539
508,вполголоса,55
509,обернувшись,55
510,закричал,66
511,громко,231
512,ужинатьто,11
513,оглохли,11
514,послышалось,99
515,«полно,66
516,горлото,11
517,драть,22
518,видишь,308
519,собираю»,11
520,пошел,726
521,там,2244
522,опять,3289
523,несколько,649
524,минут,165
525,самой,363
526,сенной,11
527,двери,847
528,старческий,22
529,голос,517
530,«усыпал,11
531,слышишь,165
532,ведь,2629
533,усыпал,11
534,едят»,11
535,старик,539
536,белый,165
537,лунь,22
538,немножко,198
539,сгорбленный,11
540,чайсахар,11
541,купцы,242
542,почтенные,11
543,просим,55
544,покорно,88
545,дедушка,11
546,ответил,242
547,очевидно,88
548,счел,22
549,приглашение,11
550,самую,143
551,обыкновенную,11
552,фразу,22
553,обратил,22
554,никакого,429
555,внимания,231
556,хотите,88
557,опершись,44
558,руками,539
559,о,3179
560,наш,418
561,видно,660
562,ярманку,22
563,ехатьто,11
564,ладно,77
565,подумавши,11
566,смотря,66
567,попеременно,11
568,всем,1089
569,ишь,253
570,вон,737
571,всё,1111
572,шалят,33
573,баловают,11
574,пусто,88
575,будь,253
576,третий,132
577,казаков,11
