id,Word,Frequency
7269,воодушевлением,22
7270,народная,11
7271,речь,88
7272,речью,11
7273,прочитанное,11
7274,силу,66
7275,придаст,11
7276,рассказу,11
7277,хочется,143
7278,способная,11
7279,дворянство,11
7280,наезжало,11
7281,чужого,11
7282,ужина,11
7283,кредит,11
7284,открытый,33
7285,помещикам,11
7286,плохую,11
7287,расплату,11
7288,«он,33
7289,аристократ,11
7290,ори,11
7291,крат»,11
7292,такова,33
7293,репутация,11
7294,понадобился,22
7295,вино,110
7296,задатки,11
7297,промотаны,11
7298,уплату,11
7299,долгов,44
7300,«выручи,11
7301,голубчик,77
7302,такойсякой,22
7303,поручись»,11
7304,настасьи,33
7305,петровны,66
7306,ручки,88
7307,целуют,11
7308,простодушные,11
7309,помираетхохочет,11
7310,«видели,11
7311,жиристовто»,11
7312,«жиристами»,11
7313,прозывала,11
7314,дворян,22
7315,московская,11
7316,барыня,275
7317,вернувшись,33
7318,разоренное,11
7319,хотела,330
7320,«воспитать,11
7321,дикий,22
7322,самородок»,11
7323,ma,11
7324,belle,11
7325,anastasie,11
7326,жирондисты»,11
7327,целовали,11
7328,привыкла,33
7329,ухорцы,11
7330,открывались,11
7331,сень,22
7332,струй»,22
7333,лейбгусар,11
7334,доказывал,11
7335,безопасность,11
7336,поступка,11
7337,захватит,22
7338,юхтовый,11
7339,бумажник,33
7340,страдали,11
7341,безуспешно,22
7342,держать,33
7343,этими,231
7344,поклонниками,11
7345,красоты,11
7346,этимто,11
7347,людям,121
7348,свиридовой,11
7349,решил,11
7350,просьбой,22
7351,неуклюжем,11
7352,приятеле,11
7353,судьба,22
7354,послала,33
7355,малолетка,11
7356,отвез,11
7357,свиридовым,22
7358,бабу,154
7359,сбиваешь,11
7360,встречая,44
7361,сбиваю,11
7362,очередь,22
7363,понимая,33
7364,вопроса,33
7365,филантропию,11
7366,затягиваешь,11
7367,шута,11
7368,навязал,11
7369,слушайте,11
7370,резкий,11
7371,контральт,11
7372,отличный,66
7373,благодарна,22
7374,взаправду,33
7375,взошли,11
7376,чертежную,11
7377,непонятный,11
7378,конец,198
7379,рассмеялся,33
7380,приткнуть,11
7381,заработать,22
7382,определитьто,11
7383,указывая,165
7384,проходившего,11
7385,шагает,11
7386,пазуху,11
7387,свиты,44
7388,косицу,11
7389,определить»,11
7390,порубке,22
7391,посоветовала,11
7392,малые,22
7393,непривычный,11
7394,повесится,11
7395,згад,33
7396,хочет,253
7397,отгоняй,11
7398,поддержала,11
7399,он…,33
7400,годящийся,11
7401,отдай,44
7402,настасье,22
7403,петровне,66
7404,вмешалась,11
7405,остался,99
7406,десятая,33
7407,августе,11
7408,почтамте,11
7409,страховое,11
7410,вложением,11
7411,пятидесяти,33
7412,серебром,22
7413,письме,44
7414,«возлюбленный,11
7415,брате,22
7416,нахожусь,11
7417,истреблении,11
7418,лесов,11
7419,росли,22
7420,всеобщую,11
7421,попали,44
7422,свиридовскую,11
7423,часть,143
7424,жалованья,33
7425,60,33
7426,гарнитура,11
7427,подговорилась,11
7428,сия,22
7429,великатность,11
7430,втуне,11
7431,сем,55
7432,нуждаюсь,11
7433,прилагаемых,11
7434,письма,66
7435,отошлите,11
7436,девице,11
7437,глафире,11
7438,анфиногеновой,11
7439,мухиной,11
7440,дубы,11
7441,родилось,11
7442,житье,77
7443,постылое,22
7444,утешаю,11
7445,делают,110
7446,родителей,22
7447,поминают,11
7448,брюхи,11
7449,набивают,11
7450,свиридова,22
7451,молятся,11
7452,дорасти,11
7453,суть,22
7454,сей,143
7455,кармана,110
7456,ныне,99
7457,нечто,55
7458,«русь,33
7459,стремишься,22
7460,ты»,55
7461,бойтесь,33
7462,александров,11
7463,ивановичей,11
7464,перескочишь,11
7465,богословский»,11
7466,ольгинапойма,11
7467,августа,22
7468,185…,11
7469,сны,11
7470,златые,11
7471,снились,11
7472,первых,88
7473,числах,11
7474,письмом,22
7475,свиридов,66
7476,извещал,11
7477,выезжает,11
7478,днях,22
7479,нанять,11
7480,удобную,11
7481,квартирку,11
7482,второго,33
7483,премиленькой,11
7484,александрийского,11
7485,театра,33
7486,отогревались,11
7487,чаем,44
7488,отогревали,11
7489,рассказами,11
7490,далекой,11
7491,улучив,11
7492,брыкается,22
7493,чудит,11
7494,пренебрегает,11
7495,рабочими,33
7496,якшался,11
7497,надоело,66
7498,отправить,44
7499,выто,44
7500,надежда,22
7501,приручите,11
7502,неето,11
7503,страшна,11
7504,«отпустите,22
7505,«куда»,11
7506,«я,275
7507,знаю»,55
7508,«да,429
7509,отпустите»,11
7510,такое»,55
7511,«обидел,11
7512,ли»,77
7513,крутит,22
7514,«вы,33
7515,насте,638
7516,худого,66
7517,делают»,11
7518,пошлите,11
7519,работу»,22
7520,выправить,11
7521,порубку,11
7522,разогорчили,11
7523,огорчала,22
7524,упадала,11
7525,поддержал,33
7526,обшила,11
7527,одела,44
7528,обула,22
7529,сердобольная,11
7530,невзлюбил,11
7531,зажили,22
7532,знатно,11
7533,свиридовыми,11
7534,хлопотал,11
7535,настасьей,44
7536,петровной,66
7537,«болтались»,11
7538,понравился,11
7539,театры,11
7540,какойнибудь,44
7541,театр,22
7542,наскучало,11
7543,шло,33
7544,александре,11
7545,ивановиче,11
7546,«разбойники,11
7547,чужеземцы,11
7548,богатеи,11
7549,черевы,11
7550,лопаются,11
7551,подумаешь,11
7552,дивное,11
7553,врагто,11
7554,народный,11
7555,сытого,11
7556,мужлана,22
7557,питающего,11
7558,крупиц,11
7559,перекатную,11
7560,голь,11
7561,передохла,11
7562,работала,22
7563,христианин,11
7564,нраву,22
7565,стать,77
7566,победит,11
7567,дондеже,11
7568,приидут,11
7569,отложенная,11
7570,моими,77
7571,мыслями,11
7572,приходится,88
7573,уступлю,11
7574,излюбленный,11
7575,сдастся,11
7576,черту,33
7577,какимто,88
7578,звериным,11
7579,именем,55
7580,называли,11
7581,признает,11
7582,ком,66
7583,признал»,11
7584,написать,55
7585,вытегры,11
7586,зашли,22
7587,бондари,11
7588,сопровождавшие,11
7589,свободную,11
7590,кухню,55
7591,разговорились,11
7592,дошло,55
7593,поживает,11
7594,действует,22
7595,подсказывает,11
7596,работает,33
7597,содержит,11
7598,слоняется,11
7599,указано,11
7600,приказчика,22
7601,рубку,11
7602,бондарь,33
7603,возьмет,44
7604,топор,77
7605,почнет,11
7606,садить,33
7607,искорья,11
7608,летят,11
7609,караул,22
7610,брехал,11
7611,беглые,11
7612,заодно,33
7613,теми,99
7614,беглыми,11
7615,подкарауль,11
7616,видят,44
7617,попер,11
7618,пустяки,66
7619,сказывают,77
7620,ракитой,22
7621,хозяйских,11
7622,окон,22
7623,подозвал,11
7624,султанку,11
7625,просидел,22
7626,зорькою,11
7627,месту,44
7628,бросили,33
7629,осени,44
7630,успенья,11
7631,ложиться,44
7632,караулто,11
7633,ходить,187
7634,ложисько,11
7635,отпросился,22
7636,ребятато,11
7637,худа,22
7638,зачнет,11
7639,филарета,11
7640,милостивого,11
7641,доброту,22
7642,сворачивает,22
7643,богачества,11
7644,складно,11
7645,смешно,66
7646,сделает,66
7647,например,44
7648,говоритговорит,11
7649,божество,11
7650,господ,33
7651,горсть,66
7652,гороху,11
7653,выберет,11
7654,ядреные,11
7655,гороховины,22
7656,рассажает,11
7657,набольший,11
7658,король,33
7659,поменьше,22
7660,министры,11
7661,князьями,11
7662,баре,11
7663,толстопузые,11
7664,горстьто,11
7665,показывает,33
7666,гречкосеи»,11
7667,гречкосеямито,11
7668,принцев,11
7669,попов,22
7670,толстопузых,11
7671,шарахнет,11
7672,сровняется,11
7673,куча,33
7674,известно,220
7675,покажи,11
7676,комедию,11
7677,дурашен,11
7678,комедиантов,11
7679,выдумали,11
7680,баил,11
7681,миронка,55
7682,вертлявый,11
7683,разъезжающий,11
7684,александром,11
7685,ивановичем,11
7686,слыл,11
7687,певца,22
7688,сказочника,11
7689,балагура,11
7690,выдумывал,11
7691,нелепые,11
7692,мастерски,11
7693,распускал,22
7694,простодушным,11
7695,наслаждался,11
7696,плодами,11
7697,изобретательности,11
7698,загадкою,11
7699,ребят,132
7700,рубивших,11
7701,толков,11
7702,воспользовался,11
7703,обстоятельством,11
7704,героя,22
7705,отставного,22
7706,комедианта,11
7707,одиннадцатая,33
7708,масленица,22
7709,достали,11
7710,билет,22
7711,спектакль,22
7712,«эсмеральду»,11
7713,русскому,22
7714,театральному,11
7715,обычаю,22
7716,окончился,11
7717,погожая,11
7718,винокурша,11
7719,задумчива,11
7720,невпопад,11
7721,занимает,22
7722,слышите,55
7723,засмеялась,77
7724,задумываюсь,11
7725,трудно,121
7726,эсмеральде,11
7727,отгадали,22
7728,эсмеральда,11
7729,бедный,44
7730,квазимодо,22
7731,настоящее,11
7732,человеком,176
7733,любить,88
7734,продолжала,253
7735,ожидании,33
7736,возвращения,33
7737,ужину,22
7738,приходил,55
7739,ударила,66
7740,ладонью,77
7741,рассмеялась,44
7742,застыдилась,11
7743,смеха,22
7744,придвинула,33
7745,прищуривая,33
7746,прекрасные,22
7747,двенадцатая,33
7748,свиридовы,11
7749,лета,22
7750,откладывали,11
7751,делами,88
7752,отъезд,11
7753,уговорили,11
7754,перекладную,11
7755,повернул,22
7756,матушке,22
7757,уехали,33
7758,приезде,22
7759,рубка,33
7760,резидировал,11
7761,обещал,33
7762,ожидали,11
7763,обрадовались…,11
7764,выеду,11
7765,вызвала,11
7766,двоюродного,11
7767,буколические,11
7768,наслаждения,11
7769,одиннадцатый,22
7770,двенадцатый,11
7771,зоре,11
7772,вошла,55
7773,встревоженная,11
7774,старушканяня,11
7775,барковских,11
7776,прислали,33
7777,двенадцатилетний,11
7778,кланяясь,44
7779,переложил,11
7780,шляпенку,11
7781,откашлялся,11
7782,велела,22
7783,ехал,66
7784,здорова,33
7785,иваныч,253
7786,нетути,33
7787,откашливаясь,11
7788,жогови…,11
7789,вишь,22
7790,припал,11
7791,оседлать,11
7792,матушкиных,11
7793,пристяжных,11
7794,одевшись,22
7795,шибкою,11
7796,рысью,22
7797,домике,22
7798,хуторе,77
7799,гувернантки,11
7800,отворены,11
7801,повязанная,22
7802,голубым,11
7803,фуляром,11
7804,растерянно,33
7805,поклон,44
7806,коновязи,11
7807,махнула,44
7808,напастьто,22
7809,пороге,66
7810,третьего,55
7811,турухтановку,11
7812,жогова,11
7813,порубки,11
7814,нарочным,22
7815,измятое,11
7816,держала,44
7817,«настя,11
7818,м,220
7819,лекарю,22
7820,исправнику,22
7821,чудакто,11
7822,таки,275
7823,наделал,11
7824,полдниками,22
7825,удавился,22
7826,поумнее,11
7827,гроб,55
7828,везли,44
7829,поскорее,33
7830,такими,33
7831,возиться,22
7832,поторопись,11
7833,растолкуй,11
7834,пошлешь,11
7835,обращаться,22
7836,письмамито,11
7837,дорог,33
7838,тело,110
7839,свиридов»,11
7840,крупной,11
7841,жогову,11
7842,виляя,11
7843,различным,11
7844,проселкам,11
7845,потерял,11
7846,настоящую,22
7847,сумеркам,11
7848,жоговского,11
7849,леса,44
7850,измучил,22
7851,изнемог,11
7852,верховой,11
7853,жару,66
7854,въехав,11
7855,поляну,44
7856,караульная,11
7857,изба,22
7858,жилете,11
7859,счеты,110
7860,серьезнее,11
7861,заткнутыми,11
7862,топорами,11
7863,орефьич,11
7864,кучер,11
7865,пара,22
7866,выпряженных,11
7867,коренастых,11
7868,лошадок,11
7869,подскочил,11
7870,упарили,11
7871,поводи,22
7872,хорошенько,88
7873,выпуская,11
7874,счет,110
7875,стоявшим,11
7876,крестьянам,33
7877,отозвалось,11
7878,посмотрев,66
7879,какову,11
7880,штучкуто,11
7881,отколол,11
7882,повесился,22
7883,сказнил,11
7884,умница,33
7885,спосылала,11
7886,тобою,154
7887,признаться,33
7888,ещето,11
7889,понизив,22
7890,гармонию,22
7891,изладил,11
7892,унеси,22
7893,поблагодарил,22
7894,одра,11
7895,навязали,11
7896,сказывай,44
7897,писание,11
7898,толковать,55
7899,салтык,11
7900,дурацкий,11
7901,мытаря,11
7902,лазаря,11
7903,убогого,22
7904,иглу,11
7905,пролезть,11
7906,оборотил,11
7907,расчислении,11
7908,«купец,11
7909,загребущая,11
7910,лапа»,11
7911,гречкосеям,11
7912,лобанить,11
7913,гречкосеи,11
7914,смотревшего,11
7915,начистоту,11
7916,вывели,55
7917,лукавой,11
7918,усмешкой,11
7919,смысля,11
7920,правиле,11
7921,петра,44
7922,увидим,66
7923,расспрошаем»,11
7924,порядках,22
7925,гуторит»,11
7926,повторяют,11
7927,спустить,11
7928,случился,22
7929,призывал,22
7930,поверить,22
7931,стороною,33
7932,загвоздку,11
7933,добрую,33
7934,закинул,33
7935,пустошные,11
7936,выкинуть,33
7937,соблюдут,22
7938,дурачатся,11
7939,пестрая,11
7940,казанская,11
7941,кошма,11
7942,сафьяновая,11
7943,подушка,11
7944,накрыт,11
7945,чистой,22
7946,кипел,11
7947,вздумалось,11
7948,столику,22
7949,умато,11
7950,вздумаешь,44
7951,семинаристов,22
7952,промеж,198
7953,неприятного,22
7954,рабочие,22
7955,водкой,55
7956,потчевал,11
7957,потолковал,11
7958,просили,33
7959,улизнул,11
7960,полденками,11
7961,девчонка,22
7962,какаято,110
7963,пришла,231
7964,рабочим,55
7965,«смотрите,11
7966,поляной,11
7967,удавился»,11
7968,сердечный,33
7969,очерствел,11
7970,ничегошеньки,11
7971,выдумай,11
7972,бумагах,11
7973,бумаг,22
7974,полиция,11
7975,приехала,44
7976,сундучок,55
7977,стряпки,11
7978,покойникато,11
7979,принесли,22
7980,незапертый,11
7981,открыли,22
7982,стряпке,11
7983,белья,11
7984,засаленных,11
7985,выписок,11
7986,сочинений,198
7987,платона,11
7988,окровавленного,11
7989,носового,11
7990,платка,33
7991,завернутого,22
7992,бумажку,55
7993,порубил,11
7994,платочком,55
7995,завязала,22
7996,стряпка,11
7997,добавила,66
7998,одевался,11
7999,рассмотрел,22
8000,завернут,11
8001,чистая,22
8002,перепустил,11
8003,листы,11
8004,платоновой,11
8005,малейшей,11
8006,записочки,22
8007,очеркнутые,11
8008,очеркнутое,11
8009,«персы,11
8010,афиняне,11
8011,потеряли,22
8012,равновесие,11
8013,слишком,44
8014,распространивши,11
8015,монархии,11
8016,простирая,11
8017,свободе»,11
8018,«вола,11
8019,поставляют,11
8020,начальником,11
8021,волами,11
8022,гений»,11
8023,«ближайшая,11
8024,природе,11
8025,власть,77
8026,сильного»,11
8027,бесстыдны,11
8028,юноши,11
8029,необходимо,11
8030,бесстыдны»,11
8031,«невозможно,11
8032,богатым,22
8033,приобретает,33
8034,честными,22
8035,нечестными,11
8036,способами,22
8037,приобретающего,11
8038,одними,55
8039,пожертвований,11
8040,добру,33
8041,расходует,11
8042,благородные,22
8043,жертвы»,11
8044,«бог,44
8045,мера,33
8046,совершеннейшая,11
8047,уподобиться,11
8048,умеренным,11
8049,желаниях»,11
8050,слабо,22
8051,написанные,22
8052,рыжим,11
8053,борщом,11
8054,трудом,11
8055,разбираю,11
8056,«васька,11
8057,глупец,33
8058,обрезал,11
8059,крылья,11
8060,ризе,11
8061,поношение,11
8062,идее,11
8063,пагубник,11
8064,тать,11
8065,сворую»,11
8066,закрыл,22
8067,овцебыкову,11
8068,казакин,11
8069,поляны,22
8070,повернули,11
8071,вправо,55
8072,глухим,11
8073,сосновым,11
8074,бором,11
8075,перешли,22
8076,просеку,11
8077,стога,11
8078,прошлогоднего,11
8079,вобрав,11
8080,воздуха,11
8081,«гоп,11
8082,гоп»,11
8083,ответа,110
8084,луна,66
8085,ярко,22
8086,тени,88
8087,стогов,11
8088,гоп,22
8089,гоппа,11
8090,отвечали,88
8091,справа,11
8092,спутник,11
8093,увидели,33
8094,облокотись,22
8095,христиане,33
8096,ликсандра,33
8097,покойникто,11
8098,тутотка,11
8099,покажите,22
8100,усмехнулся,22
8101,висел,11
8102,крестьянским,22
8103,пояском,11
8104,привязав,11
8105,сучку,11
8106,человеческого,44
8107,поджаты,11
8108,недоставал,11
8109,заложены,11
8110,карманы,11
8111,свитки,11
8112,ветки,11
8113,падал,22
8114,луны,22
8115,бедная,132
8116,покойна,22
8117,торчали,22
8118,бараньими,11
8119,рогами,22
8120,помутившиеся,11
8121,остолбенелые,11
8122,смотрели,88
8123,луну,11
8124,быка,11
8125,ударили,33
8126,обухом,11
8127,лбу,44
8128,проехали,22
8129,горлу,22
8130,прочесть,33
8131,предсмертной,11
8132,добровольного,11
8133,мученика,11
8134,платоновские,11
8135,цитаты,11
8136,красною,11
8137,меткою,11
8138,гнить,22
8139,старичок,44
8140,заискивающим,22
8141,сладеньким,11
8142,александрам,11
8143,ивановичам,11
8144,лесном,11
8145,куточке,11
8146,избранном,11
8147,мучений,11
8148,поляне,11
8149,отрадно,11
8150,купался,11
8151,лазури,11
8152,дремали,11
8153,париж,11
8154,28го,22
8155,ноября,44
8156,1862,77
8157,леди,33
8158,макбет,154
8159,мценского,121
8160,очерк,44
8161,«первую,11
8162,песенку,22
8163,зардевшись,11
8164,спеть»,11
8165,поговорка,22
8166,задаются,11
8167,характеры,11
8168,встречи,22
8169,вспомнишь,33
8170,душевного,11
8171,трепета,11
8172,числу,11
8173,характеров,33
8174,купеческая,22
8175,катерина,2398
8176,львовна,2167
8177,измайлова,44
8178,разыгравшая,11
8179,страшную,33
8180,драму,33
8181,дворяне,11
8182,чьегото,11
8183,легкого,22
8184,родилась,55
8185,красавицей,11
8186,наружности,22
8187,приятная,22
8188,роду,33
8189,росту,44
8190,невысокого,33
8191,шея,11
8192,мрамора,11
8193,выточенная,11
8194,круглые,55
8195,крепкая,22
8196,носик,22
8197,прямой,22
8198,тоненький,11
8199,живые,55
8200,досиня,11
8201,выдали,11
8202,влечению,11
8203,измайлов,22
8204,присватался,11
8205,перебирать,11
8206,женихами,11
8207,измайловых,44
8208,торговали,22
8209,крупчаткою,11
8210,держали,22
8211,мельницу,55
8212,аренде,11
8213,доходный,11
8214,городом,33
8215,зажиточные,22
8216,небольшая,33
8217,борис,165
8218,тимофеич,165
8219,восемьдесят,22
8220,вдовый,11
8221,зиновий,462
8222,борисыч,506
8223,катерины,341
8224,львовны,319
8225,лишком,22
8226,пятый,33
8227,зиновия,121
8228,борисыча,121
8229,первой,99
8230,прожил,11
8231,овдовел,11
8232,катерине,176
8233,львовне,165
8234,брака,11
8235,наследника,22
8236,купеческому,22
8237,капиталу,22
8238,катериной,88
8239,львовной,77
8240,посчастливилось,11
8241,бездетность,11
8242,бориса,77
8243,тимофеича,77
8244,самоё,22
8245,катерину,176
8246,львовну,176
8247,печалило,11
8248,скука,66
8249,непомерная,11
8250,запертом,11
8251,купеческом,11
8252,терему,11
8253,высоким,55
8254,спущенными,11
8255,цепными,11
8256,собаками,22
8257,наводила,11
8258,молодую,121
8259,купчиху,33
8260,тоску,22
8261,доходящую,11
8262,одури,11
8263,рада,132
8264,весть,33
8265,понянчиться,11
8266,деточкой,11
8267,попреки,11
8268,надоели,22
8269,судьбу,22
8270,неродица»,11
8271,преступление,33
8272,сделала,132
8273,мужем,253
8274,свекром,22
8275,честным,22
8276,купеческим,11
8277,довольстве,11
8278,добре,11
8279,свекровом,33
8280,доме,506
8281,скучное,11
8282,езжала,11
8283,поедет,44
8284,купечеству,44
8285,радость,110
8286,строгий,22
8287,наблюдают,11
8288,сядет,22
8289,пройдет,77
8290,встанет,22
8291,пылкий,44
8292,живя,11
8293,девушкой,11
8294,бедности,44
8295,простоте,44
8296,свободе,22
8297,пробежать,11
8298,ведрами,11
8299,реку,22
8300,покупаться,22
8301,рубашке,198
8302,пристанью,11
8303,обсыпать,11
8304,калитку,55
8305,прохожего,11
8306,подсолнечною,11
8307,лузгою,11
8308,встанут,22
8309,напьются,11
8310,слоняет,11
8311,слоны,11
8312,лампады,22
8313,сияют,11
8314,образами,55
8315,дому,176
8316,звука,44
8317,живого,22
8318,голоса,231
8319,походит,22
8320,пустым,33
8321,комнатам,22
8322,начнет,22
8323,зевать,33
8324,полезет,22
8325,лесенке,11
8326,супружескую,11
8327,опочивальню,33
8328,небольшом,11
8329,мезонинчике,11
8330,посидит,11
8331,поглазеет,11
8332,амбаров,44
8333,пеньку,44
8334,вешают,33
8335,крупчатку,11
8336,ссыпают,11
8337,зевнется,11
8338,прикорнет,11
8339,часокдругой,11
8340,проснется,33
8341,купеческого,44
8342,удавиться,11
8343,охотница,44
8344,книг,33
8345,окромя,33
8346,киевского,11
8347,патерика,11
8348,скучною,11
8349,жилось,22
8350,богатом,11
8351,течение,66
8352,целых,11
8353,неласковым,11
8354,скуку,11
8355,шестую,11
8356,весну,55
8357,львовниного,11
8358,замужества,11
8359,прорвало,11
8360,мельничную,22
8361,завезено,11
8362,прорва,11
8363,учинилась,11
8364,нижний,55
8365,лежень,11
8366,холостой,11
8367,скрыни,11
8368,захватить,11
8369,скорой,22
8370,удавалось,33
8371,согнал,11
8372,округи,11
8373,безотлучно,11
8374,городские,11
8375,маялась,11
8376,дням,11
8377,однаодинешенька,44
8378,скучней,11
8379,свободнее,11
8380,лежало,11
8381,командиром,11
8382,вышке,44
8383,окошечком,22
8384,зевалазевала,11
8385,определенном,11
8386,стыдно,121
8387,чудесная,33
8388,тепло,66
8389,зеленую,33
8390,решетку,33
8391,деревьям,11
8392,сучка,11
8393,сучок,11
8394,перепархивают,11
8395,птички,22
8396,раззевалась,11
8397,подумала,231
8398,семну,11
8399,встану,11
8400,погуляю,11
8401,пройдусь»,11
8402,накинула,33
8403,штофную,11
8404,шубочку,11
8405,дышится,22
8406,галерее,55
8407,хохот,154
8408,радуетесь,11
8409,свекровых,22
8410,ильвовна,198
8411,живую,55
8412,вешали,33
8413,аксинью,22
8414,родила,66
8415,позвала,22
8416,крестины,11
8417,смело,66
8418,дерзким,11
8419,обрамленным,11
8420,смоль,11
8421,кудрями,77
8422,пробивающейся,11
8423,бородкой,11
8424,мучной,11
8425,кади,66
8426,привешенной,11
8427,весовому,11
8428,коромыслу,11
8429,выглянула,11
8430,рожа,22
8431,румяной,11
8432,аксиньи,11
8433,черти,44
8434,дьяволы,11
8435,гладкие,11
8436,ругалась,11
8437,схватиться,11
8438,железное,11
8439,коромысло,11
8440,вылезть,11
8441,раскачивающейся,11
8442,пудов,33
8443,тянет,44
8444,пихтерь,22
8445,гирь,22
8446,недостанет,11
8447,объяснял,11
8448,красивый,77
8449,повернув,22
8450,кадь,22
8451,выбросил,11
8452,кухарку,22
8453,сложенное,11
8454,кульё,11
8455,ругаясь,11
8456,начала,132
8457,оправляться,11
8458,нука,66
8459,пошутила,22
8460,взявшись,22
8461,веревки,33
8462,пуда,33
8463,фунтов,11
8464,сергей,1078
8465,весовую,11
8466,скайму,11
8467,диковина,33
8468,дивуешься,11
8469,потянуло,22
8470,рассуждаю,33
8471,носить,22
8472,уморишься,11
8473,чувствовать,44
8474,устанешь,11
8475,ответила,187
8476,краснея,11
8477,отвыкшая,11
8478,речей,44
8479,чувствуя,33
8480,внезапный,11
8481,прилив,11
8482,разболтаться,11
8483,наговориться,11
8484,веселыми,11
8485,шутливыми,11
8486,аравию,11
8487,счастливую,11
8488,замечание,44
8489,ссыпавший,11
8490,тяжесть,22
8491,весу,11
8492,девках,33
8493,сильна,11
8494,мужчина,132
8495,одолевал,22
8496,ручку,22
8497,попросил,22
8498,смутилась,22
8499,протянула,33
8500,пусти,253
8501,больно,264
8502,вскрикнула,165
8503,сжал,44
8504,руке,143
8505,свободною,11
8506,толкнула,66
8507,выпустил,22
8508,хозяйкину,11
8509,толчка,33
8510,отлетел,22
8511,шага,22
8512,нда,22
8513,взяться,55
8514,наборки,11
8515,относился,22
8516,раскидывая,11
8517,кудри,44
8518,серега,11
8519,берись,11
8520,развеселившись,11
8521,приподняла,33
8522,локоточки,11
8523,обнял,77
8524,хозяйку,66
8525,прижал,22
8526,твердую,11
8527,красной,55
8528,пошевельнула,11
8529,плечами,132
8530,приподнял,22
8531,подержал,22
8532,тихонько,121
8533,опрокинутую,11
8534,мерку,11
8535,распорядиться,22
8536,хваленою,11
8537,силою,55
8538,краснаяраскрасная,11
8539,поправила,55
8540,сидя,99
8541,мерке,22
8542,свалившуюся,11
8543,плеча,33
8544,шубку,11
8545,амбара,22
8546,молодецки,11
8547,кашлянул,22
8548,олухи,22
8549,царя,33
8550,небесного,22
8551,сыпь,11
8552,зевай,22
8553,гребла,11
8554,замай,11
8555,вершки,11
8556,лишки,11
8557,девичур,11
8558,сережка,11
8559,плетясь,11
8560,аксинья,66
8561,вор,77
8562,ростом,11
8563,красотой,11
8564,женчину,11
8565,подлец,121
8566,улестит,22
8567,доведет,11
8568,непостоянный,11
8569,пренепостоянныйнепостоянный,11
8570,аксинья…,11
8571,идучи,55
8572,мальчикто,11
8573,нужны,44
8574,живущи,11
8575,гулевой,22
8576,живешьто,11
8577,сергейто,11
8578,копчоновых,11
8579,допреж,33
8580,прогнал,22
8581,понизила,11
8582,досказала,22
8583,хозяйкой,33
8584,был…,22
8585,треанафемская,11
8586,смелый,22
8587,теплые,33
8588,молочные,11
8589,сумерки,33
8590,попрудки,11
8591,свекра,121
8592,именины,22
8593,заказал,22
8594,дожидаться,44
8595,повечерила,11
8596,открыла,44
8597,окошечко,33
8598,косяку,11
8599,шелушила,11
8600,подсолнечные,11
8601,зернышки,11
8602,расходились,11
8603,сараи,11
8604,амбарам,11
8605,душистые,11
8606,сеновалы,11
8607,кухни,11
8608,спустил,22
8609,цепных,11
8610,посвистал,11
8611,проходя,44
8612,поглядел,22
8613,низко,33
8614,вышки,11
8615,смолк,11
8616,пустыня,11
8617,сударыня,176
8618,чрез,44
8619,запертой,44
8620,испугавшись,22
8621,пугаться,22
8622,дельце,11
8623,вашу,33
8624,малости,11
8625,желаю,55
8626,взойти,22
8627,повернула,11
8628,впустила,22
8629,сергея,506
8630,окошку,22
8631,попросить,66
8632,книжечки,11
8633,почитать,22
8634,одолевает,11
8635,книжек,22
8636,жаловался,55
8637,скучать,66
8638,помилуйте,44
8639,каком,88
8640,гробовой,22
8641,доски,33
8642,таком,143
8643,одиночестве,22
8644,отчаянье,11
8645,женишься,11
8646,незначительный,11
8647,хозяйская,11
8648,необразованность,11
8649,оне,22
8650,понимать,33
8651,ихнее,11
8652,богатыхто,11
8653,понятие,11
8654,каждому,44
8655,другому,99
8656,чувствует,66
8657,утешение,22
8658,канарейка,11
8659,клетке,22
8660,содержитесь,11
8661,сорвалось,22
8662,эдакой,33
8663,хоша,88
8664,прочие,143
8665,видеться,22
8666,ты…,44
8667,ребеночка,11
8668,доложить,22
8669,чегонибудь,11
8670,нешто,121
8671,хозяевам,22
8672,живши,11
8673,эдакую,11
8674,женскую,44
8675,глядючи,33
8676,понимаем,22
8677,поется,11
8678,«без,11
8679,мила,22
8680,дружка,22
8681,обуяла,11
8682,грустьтоска»,11
8683,тоска,77
8684,доложу,22
8685,столь,88
8686,чувствительна,11
8687,вырезал,11
8688,булатным,11
8689,груди,209
8690,бросил,99
8691,ножкам,11
8692,легче,88
8693,было…,22
8694,задрожал,22
8695,сказываешь,11
8696,себе…,11
8697,трепеща,11
8698,делая,33
8699,чувствую,88
8700,придыханием,22
8701,состоит,33
8702,власти,33
8703,брошусь,33
8704,несносною,11
8705,властью,11
8706,неописуемого,11
8707,страха,33
8708,схватилась,33
8709,подоконницу,11
8710,несравненная,11
8711,бросаться,22
8712,развязно,22
8713,прошептал,22
8714,оторвав,11
8715,ох,220
8716,стонала,22
8717,слабея,11
8718,горячими,22
8719,поцелуями,22
8720,мимовольно,22
8721,прижималась,22
8722,могучей,22
8723,унес,33
8724,темный,33
8725,наступило,11
8726,безмолвие,11
8727,нарушавшееся,11
8728,мерным,11
8729,тиканьем,11
8730,висевших,11
8731,изголовьем,33
8732,карманных,11
8733,ничему,33
8734,мешало,11
8735,полчаса,66
8736,поправляя,33
8737,зеркальцем,11
