Bigram,Frequency
последние слова,3
обломов пошел,3
жизни одну,3
повторил тарантьев,3
другом случае,3
седых волос,3
голову приходило,3
восемьсот рублей,3
хозяйские дети,3
настаивал штольц,3
никак ожидала,3
отвечал андрей,3
место жительства,3
небрежно обломов,3
отец сын,3
закричу мир,3
вперед комнате,3
обломов задумался,3
тарантьев захар,3
кричал тарантьев,3
целой жизни,3
квартиры гонят,3
тарантьев ушел,3
став колени,3
жалкими словами,3
послушай ольга,3
оглядывая комнату,3
грозно спросил,3
проснулся утром,3
боже обломов,3
слова движения,3
задумчиво глядя,3
милостивый государь,3
гулять прогнал,3
господа бога,3
сердце замирает,3
впиваясь глазами,3
сад павильон,3
хотел поговорить,3
прикрыв глаза,3
жалких слов,3
нетерпением обломов,3
рос учился,3
руки ноги,3
шитую подушку,3
обломов завтра,3
замахиваясь локтем,3
указывая алексеева,3
кончил курс,3
спросил тихо,3
хочу говорить,3
говори скорей,3
отчего оттого,3
обращаясь алексееву,3
спрятал карман,3
рублей стоит,3
тарантьев взял,3
сходить обломов,3
строго спросил,3
бог ним,3
розовые пятна,3
отвечал тарантьев,3
глаза рукой,3
дом сад,3
нечего говорить,3
уездном суде,3
бог весть,3
шею руками,3
пропащий пропащий,3
спросил андрей,3
обломов дело,3
остановил обломов,3
постой постой,3
пошел постой,3
прошептал обломов,3
горе труд,3
нечего думать,3
знаю знаю,3
клеенчатый плащ,3
прежнее место,3
тысячу рублей,3
полторы тысячи,3
обломов слушать,3
чай сахар,3
ходить комнате,3
трои сутки,3
магазин пошла,3
обломов отчего,3
лиловое платье,3
прибавил судьбинский,3
штольц знаешь,3
махнул рукой,3
статочное дело,3
ивану герасимовичу,3
потупя глаза,3
письмо деревни,3
торопливо спросил,3
пяти часов,3
обломов никак,3
вздохнул задумался,3
хотел знать,3
ах илья,3
закурил сигару,3
захар отчего,3
целом мире,3
ильинскую барышню,3
решил обломов,3
спросил кучер,3
обломов провожая,3
ильинская барышня,3
ума воли,3
тихо спросила,3
обломов слушал,3
захар молчал,3
сердце билось,3
свет общество,3
воскликнул обломов,3
одну руку,3
спрашивал обломов,3
пожал плечами,3
целые дни,3
дайте руку,3
биение сердца,3
пить чай,3
могло случиться,3
ехать границу,3
отчего обломов,3
десяти часов,3
обломов молча,3
пакетом мышкой,3
штольц илья,3
двенадцати пяти,3
глаза заблистали,3
фома фомич,3
слышно прошептал,3
тарантьев иван,3
большею частию,3
твои слова,3
пятницу пороховые,3
ильинскую пятницу,3
ах произнес,3
захар отвечал,3
перенес взгляд,3
таких людей,3
полно полно,3
горячие слезы,3
штольц засмеялся,3
глядя сторонам,3
здоров спросил,3
прошептал захар,3
отлегло сердца,3
пытливый взгляд,3
принес квасу,3
пришло голову,3
нанял квартиру,3
прямо глаза,3
школы заводить,3
билось сердце,3
сходках ворот,3
коллежский секретарь,3
ольга скажет,3
обломов ждал,3
целое утро,3
заткнутым пояс,3
ушел домой,3
обломов ах,3
штольц скажи,3
поблекло отошло,3
штольц пристально,3
тарантьев алексеев,3
ольга ангел,3
прощайте прощайте,3
стыдно больно,3
цепи лай,3
прибавила ольга,3
пояс подолом,3
целые сутки,3
глядит глядит,3
глаз долой,3
отчего спросил,3
мсье обломов,3
ходил комнате,3
спросил взяв,3
матвей мосеич,3
послушай илья,3
сел кресло,3
штольц покачал,3
сомнения вопросы,3
голову пришло,3
обломовщина штольц,3
вырвалось обломова,3
придет очнетесь,3
одно мгновение,3
устроил дела,3
начал говорить,3
силы воли,3
осталась верна,3
царство небесное,3
ждали мечтали,3
кофейной мельницы,3
глаз хозяйки,3
милый андрей,3
защищался обломов,3
илья иваныч,3
начал считать,3
ильич обломов,3
робко спросил,3
получать втрое,2
дрянной мальчишка,2
глазах улыбке,2
квартиру спросил,2
перебил захар,2
летний сад,2
той поры,2
быстро скользят,2
правда мысль,2
собственных шагов,2
гости приехали,2
подошел двери,2
ждал скажет,2
одна бровь,2
тихо сонно,2
обломов любуясь,2
ужасом произнес,2
твоем месте,2
здорова помнит,2
дело захар,2
брат илья,2
искреннего смеха,2
diva casta,2
свободно легко,2
даст бог,2
глаза отчего,2
пришел комнату,2
тарантьев мастер,2
ядовитый обломов,2
захар пришел,2
узнал ольгу,2
одна любовь,2
чутко прислушивалась,2
другую картину,2
ехать город,2
обломов ходил,2
присутственные места,2
трофимыч спросил,2
дело делается,2
столе белье,2
оправдывался обломов,2
стоит ездить,2
незапамятных времен,2
алеши поповича,2
свет горел,2
развращение нравов,2
чайного стола,2
никита василисе,2
скотина кричал,2
захара анисьи,2
стола обломов,2
целого света,2
никите никита,2
ним носился,2
такую нелепость,2
иначе нежели,2
половины двери,2
захар взглянул,2
ответ деревни,2
квартира обломов,2
откуда спросил,2
живо спросила,2
захар придет,2
братец тарантьев,2
медные деньги,2
носился образ,2
приспособился делу,2
семен никите,2
зевая обломов,2
какое здоровье,2
лежа диване,2
илья обломов,2
отвечала монотонно,2
слезами произнес,2
чувствовал дрожат,2
подтвердил обломов,2
нашего брата,2
игра обман,2
дверь хозяйской,2
общественной жизни,2
братцем поговорить,2
рубашку жилет,2
спросил обращаясь,2
молчали некоторое,2
скользят ноги,2
ожидая барин,2
продолжал волков,2
захар кликнул,2
барин барин,2
ильинские сказывали,2
села диван,2
ленивой душе,2
отвечала глядя,2
солнце стоит,2
ошибка любовь,2
лице обломова,2
лицо складка,2
шагнул двери,2
природы жизни,2
начал ходить,2
ольга боже,2
вместе прыжком,2
начал думать,2
сыну наследство,2
барин коли,2
истины блага,2
ног лежанки,2
целая неделя,2
выше выше,2
нянек дядек,2
небывалой дружбы,2
обломов знает,2
жизни идеал,2
силы волновался,2
правда негодяем,2
геркулесовыми столпами,2
тарантьев правда,2
генерал спросил,2
денег спросил,2
хотел тревожить,2
глаза горели,2
милитрисе кирбитьевне,2
продолжал илья,2
дал слово,2
кончить разом,2
жизни лились,2
навострив уши,2
глаза тусклые,2
хозяйка выглянула,2
прибавил глубоким,2
сложил угол,2
прощайте сказали,2
au revoir,2
некотором отдалении,2
длинным покрывалом,2
прощайте татьяна,2
щелканье счетов,2
пойдем гулять,2
захар пожаловался,2
тяжело скучно,2
получит дохода,2
дома сижу,2
двери постой,2
тарантьев земляк,2
отец ходит,2
обломов взял,2
катя няня,2
человеками детей,2
двенадцатью человеками,2
текут реки,2
слушала рассеянно,2
реки меду,2
меду молока,2
куска хлеба,2
большую часть,2
знают гуляют,2
обыкновенное выражение,2
стыдливого согласия,2
дал денег,2
гривен пятаков,2
спал ночь,2
стало больно,2
штольц стало,2
тарантьев кум,2
большей любовью,2
которую штольц,2
денег пожалуйте,2
ольга штольц,2
штольц глядя,2
марьи михайловны,2
смеется остановился,2
расскажите расскажите,2
длинные дни,2
внезапных перемен,2
знаю какие,2
сердцу лишнее,2
двести триста,2
понадобилось написать,2
испуганное лицо,2
нюхала спирт,2
дружба штольцу,2
сил души,2
думал думал,2
впору впору,2
князя тюменева,2
обратила взгляд,2
поговорили несчастья,2
ветке сирени,2
принес перевод,2
обломов вынес,2
обедать дома,2
любила обломова,2
завтра непременно,2
поехал домой,2
андрей жив,2
жила чувствовала,2
потрясла головой,2
думает чувствует,2
доме воцарилась,2
покачает головой,2
вздохнул ах,2
роль обществе,2
черты лица,2
захар быстро,2
агафье матвеевне,2
таинственный уговор,2
уговор слить,2
слить жизни,2
ходя комнате,2
груб обращении,2
позвал анисью,2
бодро вперед,2
покорной усмешкой,2
встав дивана,2
давал чувствовать,2
вслух произнес,2
скажем тетке,2
своим углам,2
пристально глядел,2
симптомы страсти,2
сирени отошли,2
новые черты,2
