Bigram,Frequency
свой странный,1
странный недуг,1
сошлется мигрень,1
прекрасный задумчивый,1
мигрень ляжет,1
ляжет спать,1
спать нелегко,1
нелегко укрыться,1
укрыться зоркого,1
штольца знала,1
знала внутренне,1
внутренне такою,1
такою тревогой,1
тревогой готовилась,1
готовилась разговору,1
разговору настанет,1
настанет некогда,1
некогда готовилась,1
задумчивый вечер,1
ко прекрасный,1
принудить улыбнуться,1
творчества искусстве,1
улыбнуться говорить,1
говорить равнодушно,1
слушала самые,1
самые горячие,1
горячие новости,1
новости политического,1
политического самые,1
самые любопытные,1
любопытные объяснения,1
объяснения нового,1
нового шага,1
шага науке,1
науке нового,1
нового творчества,1
искусстве хотелось,1
равнодушна ко,1
хотелось плакать,1
плакать внезапного,1
внезапного трепета,1
трепета играли,1
играли нервы,1
нервы пробуждались,1
пробуждались высказывались,1
высказывались девические,1
девические силы,1
силы отчаянием,1
отчаянием спрашивала,1
спрашивала становилась,1
становилась скучна,1
скучна равнодушна,1
скучно скучно,1
знаешь веришь,1
вопрошающей тайне,1
жаловалась насказала,1
тряся руку,1
руку избыток,1
избыток воображения,1
воображения жива,1
жива созрела,1
созрела той,1
поры вполголоса,1
вполголоса докончил,1
докончил говори,1
говори вслух,1
вслух андрей,1
андрей терпеть,1
могу ворчишь,1
ворчишь жаловалась,1
насказала глупостей,1
думая говорила,1
глупостей повесил,1
повесил голову,1
голову шепчет,1
шепчет нос,1
нос страшно,1
страшно темноте,1
темноте знаю,1
знаю грусть,1
грусть находит,1
находит вопросы,1
вопросы тревожат,1
тревожат поймешь,1
поймешь поговорим,1
поговорим посмотрим,1
говорила тряся,1
шел думая,1
купаться море,1
выдумаешь напрасно,1
молчишь спросила,1
нетерпением молчала,1
молчала знала,1
знала замечал,1
замечал дай,1
дай помолчать,1
помолчать подумать,1
подумать задала,1
задала нелегкую,1
нелегкую задачу,1
задачу станешь,1
станешь думать,1
думать мучиться,1
мучиться выдумаешь,1
напрасно прибавила,1
пристала шел,1
прибавила говори,1
говори скажу,1
скажу задумчиво,1
задумчиво проговаривается,1
проговаривается нервическое,1
расстройство доктор,1
доктор решит,1
решит завтра,1
завтра послать,1
послать начал,1
начал задумался,1
задумался говори,1
говори нетерпеливо,1
нетерпеливо пристала,1
посмотрим купаться,1
море созрела,1
правда молчал,1
силы поиски,1
засмеялся бойся,1
бойся располагаешь,1
располагаешь состариться,1
состариться старости,1
старости силы,1
силы падают,1
падают перестают,1
перестают бороться,1
бороться жизнью,1
грусть томление,1
томление думаю,1
думаю скорее,1
скорее признак,1
признак силы,1
поиски живого,1
прибавила выпрямляясь,1
живого раздраженного,1
раздраженного ума,1
ума порываются,1
порываются житейские,1
житейские грани,1
грани находят,1
находят ответов,1
ответов является,1
является грусть,1
грусть временное,1
временное недовольство,1
недовольство жизнью,1
грусть души,1
души вопрошающей,1
выпрямляясь засмеялся,1
сильна прибавила,1
созрела мысль,1
расстройства совершенно,1
мысль спрашивала,1
спрашивала думал,1
думал медленно,1
задумчиво высказываясь,1
высказываясь доверяя,1
доверяя мысли,1
мысли стыдясь,1
стыдясь речи,1
речи видишь,1
видишь бывают,1
бывают минуты,1
минуты хочу,1
хочу признак,1
признак расстройства,1
совершенно здорова,1
молода сильна,1
здорова созрела,1
созрела подошла,1
подошла той,1
той поре,1
поре остановился,1
остановился рост,1
рост жизни,1
жизни загадок,1
загадок открылась,1
открылась состарилась,1
состарилась живо,1
перебила смей,1
смей погрозила,1
погрозила молода,1
молчал молчишь,1
грусть правда,1
веришь своим,1
стыдясь вопросов,1
говори пристал,1
пристал живостью,1
живостью жизни,1
жизни боюсь,1
боюсь продолжала,1
продолжала изменилось,1
изменилось кончилось,1
кончилось знаю,1
знаю мучусь,1
мучусь глупою,1
глупою мыслью,1
мыслью счастье,1
счастье говорила,1
говорила стыдясь,1
вопросов радости,1
слушай пустое,1
радости горе,1
горе природа,1
природа шептала,1
шептала тянет,1
тянет делаюсь,1
делаюсь ничем,1
ничем недовольна,1
недовольна боже,1
боже стыдно,1
стыдно глупостей,1
глупостей мечтательность,1
мечтательность замечай,1
замечай смотри,1
смотри прибавила,1
пустое говори,1
покажется слушай,1
голосом ласкаясь,1
должна причина,1
своим словам,1
словам больна,1
больна грустно,1
грустно несносный,1
несносный спрятаться,1
спрятаться грустно,1
грустно знаю,1
отчего положила,1
плечо отчего,1
тихо наклонившись,1
наклонившись знаю,1
знаю повторила,1
повторила однакож,1
однакож должна,1
причина грусть,1
хандра покажется,1
грусть иное,1
иное зародыш,1
зародыш болезни,1
болезни здорова,1
здорова серьезно,1
серьезно роде,1
роде чувствую,1
чувствую видишь,1
видишь ем,1
ем гуляю,1
гуляю сплю,1
сплю работаю,1
работаю найдет,1
найдет хандра,1
прибавила умоляющим,1
ласкаясь грусть,1
глупо грусть,1
дошли конца,1
пошел аллее,1
аллее склонив,1
грудь погрузясь,1
погрузясь всей,1
всей мыслью,1
мыслью тревогой,1
тревогой недоуменьем,1
недоуменьем неясное,1
неясное признание,1
признание жены,1
жены заглядывала,1
заглядывала глаза,1
глаза видела,1
видела дошли,1
аллеи дала,1
штольц молча,1
дала обернуться,1
обернуться очередь,1
очередь вывела,1
вывела лунный,1
лунный свет,1
свет вопросительно,1
вопросительно посмотрела,1
посмотрела глаза,1
глаза застенчиво,1
застенчиво спросила,1
спросила смеешься,1
смеешься моим,1
моим глупостям,1
глупостям глупо,1
молча пошел,1
заметить штольц,1
грусть скоро,1
спрашивал муж,1
скоро проходит,1
проходит станет,1
станет светло,1
светло весело,1
весело стало,1
стало жалась,1
жалась робко,1
робко ласково,1
ласково стыдясь,1
стыдясь деле,1
деле прося,1
прося прощения,1
прощения глупостях,1
глупостях спрашивал,1
муж передавала,1
припомнить заметить,1
передавала больная,1
больная врачу,1
врачу симптомы,1
симптомы грусти,1
грусти высказывала,1
высказывала глухие,1
глухие вопросы,1
вопросы рисовала,1
рисовала смятение,1
смятение души,1
души исчезал,1
исчезал мираж,1
мираж могла,1
могла припомнить,1
практический хозяин,1
любовь смотрят,1
показывая лица,1
взглядом любопытства,1
вполовину смутно,1
серебра вполовину,1
жемчуга серебра,1
закладе жемчуга,1
участия закладе,1
любопытства участия,1
сменился взглядом,1
детей любовь,1
невольно сменился,1
говоря невольно,1
кидал говоря,1
презрения кидал,1
пренебрежения презрения,1
взгляд пренебрежения,1
смутно прочел,1
прочел тайну,1
тайну жертв,1
жертв решить,1
решить приносились,1
приносились чистою,1
чистою преданностью,1
преданностью надежде,1
надежде будущих,1
будущих благ,1
благ знал,1
знал печалиться,1
печалиться радоваться,1
радоваться илью,1
илью открылось,1
открылось явно,1
явно должен,1
матвеевны взгляд,1
тайны агафьи,1
разгадке тайны,1
маше башмаки,1
позвольте переговорить,1
переговорить решительно,1
решительно илья,1
ильич считает,1
считает должным,1
должным братцу,1
братцу должны,1
должны отвечала,1
отвечала закладывала,1
закладывала серебро,1
серебро земчуг,1
земчуг мех,1
мех закладывала,1
закладывала маше,1
башмаки купила,1
близок разгадке,1
купила ванюше,1
ванюше рубашки,1
рубашки зеленные,1
зеленные лавки,1
лавки отдала,1
отдала илью,1
ильича копеечки,1
копеечки пошло,1
пошло смотрел,1
смотрел слушал,1
слушал вникал,1
вникал смысл,1
смысл слов,1
слов близок,1
должен долг,1
долг мошенническая,1
мошенническая проделка,1
вашим увижусь,1
двумя моими,1
моими знакомыми,1
знакомыми откажетесь,1
откажетесь самое,1
самое братцем,1
братцем переговорили,1
переговорили повторяла,1
повторяла кухне,1
кухне нехорошо,1
нехорошо чужие,1
чужие увидят,1
увидят осудят,1
осудят братцем,1
братцем вашим,1
увижусь завтра,1
завтра побываю,1
завтра подпишете,1
подпишете бумагу,1
бумагу отвыкла,1
отвыкла написать,1
написать строки,1
строки увольте,1
увольте пусть,1
пусть ванюша,1
ванюша написал,1
написал чисто,1
чисто пишет,1
пишет отказывайтесь,1
отказывайтесь настаивал,1
настаивал подпишете,1
побываю двумя,1
штольц завтра,1
проделка братца,1
должны дома,1
братца открывалось,1
открывалось многое,1
многое значат,1
значат заклады,1
заклады серебра,1
серебра жемчугу,1
жемчугу имеете,1
имеете претензий,1
претензий илье,1
ильиче спросил,1
спросил потрудитесь,1
потрудитесь братцем,1
поговорить отвечала,1
монотонно должны,1
должен илья,1
расходы перебил,1
ильич говорите,1
говорите копеечки,1
копеечки правда,1
правда божилась,1
божилась глядя,1
глядя образ,1
образ крестясь,1
крестясь подтвердите,1
подтвердите свидетелях,1
свидетелях исповеди,1
исповеди земчуг,1
земчуг серебро,1
серебро заложила,1
заложила расходы,1
доме позвольте,1
погреб доме,1
замыкалова погреб,1
взглядом удивления,1
вошла вслед,1
ним гостиную,1
гостиную села,1
села кончике,1
кончике дивана,1
дивана шали,1
шали старалась,1
старалась прятать,1
прятать руки,1
руки косынку,1
косынку илья,1
ильич дал,1
дал заемное,1
спросил тупым,1
удивления отвечала,1
шею косынку,1
отвечала никакого,1
письма давали,1
давали никакого,1
никакого никакого,1
видала твердила,1
твердила тупым,1
тупым удивлением,1
удивлением заемное,1
штольц подумала,1
подумала поговорили,1
поговорили братцем,1
братцем никакого,1
видала дура,1
дура плутовка,1
косынку вошла,1
накинув шею,1
подумал штольц,1
штольц встал,1
истину пахнуло,1
холодом илья,1
илья спросил,1
спросил женщина,1
обломов положил,1
положил голову,1
голову стол,1
стол задремал,1
задремал грабит,1
грабит тащит,1
тащит вседневная,1
вседневная история,1
история догадался,1
догадался думал,1
встал быстро,1
робко накинув,1
хозяйке увидя,1
увидя испугу,1
испугу выронила,1
выронила ложечку,1
ложечку рук,1
рук которою,1
которою мешала,1
мешала кофе,1
кофе поговорить,1
поговорить вежливо,1
вежливо пожалуйте,1
пожалуйте гостиную,1
гостиную приду,1
приду отвечала,1
плутовка подумал,1
штольц должен,1
доме замыкалова,1
полтиной третьей,1
тварь ростовщица,1
ростовщица думал,1
думал доберусь,1
доберусь какие,1
какие тревожном,1
тревожном удивлении,1
удивлении спросила,1
спросила илья,1
письму спросил,1
спросил должны,1
должны должны,1
должны постом,1
постом мяснику,1
мяснику полтиной,1
третьей неделе,1
стыдится жадная,1
неделе отдали,1
отдали сливки,1
сливки молочнице,1
молочнице заплатили,1
заплатили должны,1
должны документа,1
документа тупо,1
тупо поглядела,1
поглядела братцем,1
братцем поговорили,1
поговорили отвечала,1
отвечала живут,1
живут улицу,1
улицу доме,1
жадная тварь,1
передо стыдится,1
спросил поглядела,1
никак могла,1
тупо лицо,1
лицо осмыслилось,1
осмыслилось выразило,1
выразило тревогу,1
тревогу вспомнила,1
вспомнила заложенном,1
заложенном жемчуге,1
жемчуге серебре,1
серебре салопе,1
салопе вообразила,1
вообразила штольц,1
штольц намекает,1
намекает долг,1
долг никак,1
могла понять,1
скрывает передо,1
понять узнали,1
узнали слова,1
слова проронила,1
проронила обломову,1
обломову тайне,1
тайне анисье,1
анисье отдавала,1
отдавала отчет,1
отчет каждой,1
каждой копейке,1
копейке должен,1
должен беспокойством,1
штольц должны,1
копеечки скрывает,1
подпишете бумаги,1
должен должны,1
копеечки твердила,1
пал пред,1
зеленые силился,1
силился силился,1
силился хотел,1
выговорить неправда,1
неправда мол,1
мол клевета,1
клевета превосходительство,1
превосходительство никакого,1
никакого обломова,1
обломова знать,1
знаю тарантьев,1
тарантьев языка,1
языка нейдет,1
нейдет пал,1
пред стопы,1
обойдешь глаза,1
стопы дело,1
дело хотят,1
хотят затевать,1
затевать глухо,1
глухо спросил,1
тарантьев стороне,1
кум стороне,1
стороне стороне,1
кум петлю,1
петлю лезть,1
лезть первому,1
первому уговаривал,1
уговаривал обломова,1
обломова срамил,1
глаза зеленые,1
обойти обойдешь,1
грозил научил,1
припутали скажи,1
пьяным заставили,1
заставили подписать,1
подписать заемное,1
письмо вашей,1
вашей сестры,1
сестры негодяем,1
негодяем спросил,1
тарантьев спросил,1
кум поглядел,1
поглядел небойсь,1
небойсь знаешь,1
знаешь желчно,1
желчно нешто,1
нешто припутали,1
скажи немцу,1
обойти обойти,1
немцу своему,1
своему земляку,1
земляку пронюхал,1
пронюхал выспросил,1
выспросил кум,1
кум другого,1
другого показал,1
показал вона,1
вона святой,1
святой кум,1
кум отвечал,1
отвечал генерал,1
спросил правда,1
негодяем обойти,1
срамил грозил,1
научил тарантьев,1
помещика обломова,1
письмо сестру,1
стоит своем,1
своем должен,1
должен дескать,1
дескать илья,1
ильич денег,1
денег никаких,1
никаких давала,1
давала письмо,1
письмо тарантьев,1
тарантьев потеряешь,1
потеряешь мухояров,1
мухояров вынул,1
вынул кармана,1
кармана заемное,1
сестру разорвал,1
делать плачет,1
разорвал части,1
части подал,1
подал тарантьеву,1
тарантьеву подарю,1
подарю прибавил,1
прибавил взять,1
взять дом,1
дом огородишком,1
огородишком тысячи,1
тысячи дадут,1
дадут разваливается,1
разваливается нехристь,1
нехристь миру,1
миру пустить,1
плачет стоит,1
дура делать,1
тарантьев несовершеннолетний,1
просила сестра,1
несовершеннолетний знать,1
знаю ведать,1
ведать ведаю,1
ведаю кум,1
кум бессовестно,1
бессовестно перепало,1
перепало триста,1
рублей досталось,1
досталось одному,1
одному взять,1
взять экой,1
экой ловкий,1
ловкий знать,1
знаю просила,1
сестра женскому,1
сестра дура,1
женскому незнанию,1
незнанию дела,1
дела заявить,1
заявить письмо,1
письмо маклера,1
маклера затертый,1
затертый свидетелями,1
свидетелями ответе,1
ответе хорошенько,1
хорошенько смела,1
смела брата,1
брата идти,1
идти тарантьев,1
тарантьев сестра,1
обломова пьяным,1
напоили помещика,1
твердила таком,1
маклера мое,1
братцем истинным,1
истинным громовым,1
громовым ударом,1
ударом ивана,1
матвеевича вынул,1
вынул документ,1
документ показал,1
показал трепещущим,1
трепещущим средним,1
пальцем правой,1
ногтем подпись,1
подпись обломова,1
обломова засвидетельствование,1
засвидетельствование маклера,1
дело сторона,1
внезапно явился,1
сторона соблюдаю,1
соблюдаю интересы,1
интересы сестры,1
сестры какие,1
деньги брали,1
брали илья,1
ильич неизвестно,1
неизвестно кончится,1
кончится дело,1
дело погрозил,1
погрозил уезжая,1
уезжая штольц,1
штольц законное,1
законное стороне,1
явился братцем,1
штольц внезапно,1
оправдывался иван,1
говорить иначе,1
случае должны,1
должны подписать,1
подписать бумагу,1
бумагу прощайте,1
прощайте завтра,1
завтра братцу,1
братцу зашли,1
зашли говорила,1
говорила провожая,1
провожая углу,1
углу улицу,1
улицу прошу,1
прошу братцу,1
братцу говорить,1
иначе илье,1
свидетельством штольц,1
ильичу неприятно,1
неприятно скажу,1
скажу послушно,1
послушно vii,1
vii агафья,1
матвеевна дала,1
дала штольцу,1
штольцу свидетельство,1
свидетельство никакой,1
никакой денежной,1
денежной претензии,1
претензии обломова,1
обломова имеет,1
имеет свидетельством,1
стороне оправдывался,1
матвеевич пряча,1
негодяем напоили,1
другу говорят,1
обругали обругали,1
обругали передразнил,1
передразнил иван,1
матвеевич прибили,1
прибили хорош,1
хорош упрекнул,1
упрекнул немец,1
немец продувной,1
продувной продувной,1
продувной видали,1
видали продувных,1
продувных силе,1
силе генералом,1
генералом друг,1
говорят связываться,1
матвеевич думаешь,1
связываться этакими,1
этакими знал,1
знал законное,1
дело возразил,1
тарантьев законное,1
дело передразнил,1
передразнил мухояров,1
мухояров скажи,1
скажи язык,1
язык прилипнет,1
прилипнет гортани,1
гортани знаешь,1
знаешь генерал,1
спросил любопытством,1
думаешь обругали,1
произнес иван,1
пряча руки,1
какое скорей,1
рукава пришел,1
пришел присутствие,1
присутствие явился,1
явился курьер,1
курьер генерала,1
генерала немедленно,1
немедленно требовал,1
требовал генералу,1
генералу ужасом,1
ужасом повторило,1
повторило присутствие,1
присутствие требует,1
требует дела,1
дела какое,1
скорей подшивать,1
монотонно произнес,1
подшивать дела,1
дела делать,1
делать описи,1
описи вечером,1
вечером иван,1
матвеевич пришел,1
пришел заведение,1
заведение свой,1
свой тарантьев,1
тарантьев ждал,1
ждал кум,1
кум спросил,1
спросил нетерпением,1
нетерпением монотонно,1
поймав истину,1
лице поймав,1
жаром штольц,1
обломовке узнаешь,1
своем собственном,1
собственном сердце,1
своем счастье,1
счастье ольге,1
сергевне могу,1
могу прости,1
прости избавил,1
избавил хлопот,1
хлопот скоро,1
скоро весна,1
весна непременно,1
непременно отправлюсь,1
отправлюсь обломовку,1
обломовку знаешь,1
узнаешь штольц,1
ищи благодарности,1
штольц писал,1
писал отвечаешь,1
отвечаешь письма,1
письма мост,1
мост построен,1
построен дом,1
дом прошлым,1
прошлым летом,1
летом возведен,1
возведен крышу,1
крышу убранстве,1
убранстве внутри,1
внутри хлопочи,1
хлопочи своему,1
благодарности своем,1
силах ищи,1
вкусу берусь,1
воспоминания живом,1
парк сирень,1
сирень пошевеливаться,1
пошевеливаться андрей,1
андрей поминай,1
поминай шевели,1
шевели ради,1
бога серьезно,1
серьезно перебил,1
обломов больно,1
больно отрадно,1
отрадно воспоминания,1
воспоминания величайшая,1
величайшая поэзия,1
поэзия воспоминания,1
живом счастье,1
могу силах,1
счастье жгучая,1
жгучая боль,1
боль касаются,1
касаются засохших,1
засохших ран,1
ран поговорим,1
другом поблагодарил,1
поблагодарил твои,1
твои хлопоты,1
хлопоты моих,1
моих делах,1
делах деревне,1
деревне друг,1
друг могу,1
своему вкусу,1
берусь хозяйничает,1
прошлое вспомнишь,1
вареного цыпленка,1
тарелках лежало,1
лежало большому,1
большому черному,1
черному ломтю,1
ломтю хлеба,1
хлеба вилки,1
вилки изломанными,1
изломанными черенками,1
черенками обломову,1
обломову подали,1
подали уху,1
уху суп,1
суп крупой,1
крупой вареного,1
цыпленка следовал,1
заткнутые бумажками,1
следовал жесткий,1
жесткий язык,1
язык баранина,1
баранина явилось,1
явилось красное,1
красное вино,1
вино штольц,1
штольц налил,1
налил полстакана,1
полстакана попробовал,1
попробовал поставил,1
поставил стакан,1
стол пробовал,1
пробовал илья,1
бумажками тарелках,1
пробок заткнутые,1
хозяйничает новый,1
плакать обеда,1
новый управляющий,1
управляющий видел,1
видел ведомости,1
ведомости расходы,1
расходы обломов,1
молчал читал,1
глядя постой,1
постой обеда,1
обеда сыщу,1
сыщу захара,1
захара спросить,1
спросить ах,1
илья смеяться,1
смеяться плакать,1
обеда сыщем,1
масла пробок,1
сыщем давай,1
штольц поморщился,1
поморщился садясь,1
садясь вспомнил,1
вспомнил ильин,1
ильин устриц,1
устриц ананасы,1
ананасы дупелей,1
дупелей видел,1
видел толстую,1
толстую скатерть,1
скатерть судки,1
судки уксуса,1
уксуса масла,1
вспомнишь парк,1
душе прошлое,1
выпил рюмки,1
ловя руки,1
улыбался сипел,1
сипел хрипел,1
хрипел штольц,1
штольц вынул,1
вынул ассигнацию,1
ассигнацию подал,1
подал купи,1
купи сюртук,1
сюртук посмотри,1
посмотри точно,1
точно нищий,1
нищий батюшка,1
батюшка спросил,1
захар ловя,1
руки штольца,1
захар кланялся,1
штольца ольге,1
сергевне помнишь,1
помнишь обломов,1
обломов ильинской,1
ильинской барышне,1
барышне господи,1
господи славная,1
славная барышня,1
барышня поделом,1
поделом бранили,1
бранили илья,1
ильич старого,1
старого пса,1
пса грешен,1
кланялся улыбался,1
радости захар,1
виноват сворачивал,1
знаешь новость,1
мигая барину,1
барину нетерпением,1
нетерпением спросил,1
спросил поди,1
поди денег,1
пожалуйте шептал,1
замолчал шепнул,1
шепнул дверь,1
дверь скажи,1
скажи забыл,1
забыл успел,1
успел поди,1
сюда громко,1
громко знаешь,1
новость захар,1
наживать ах,1
захар поздравь,1
поздравь андрей,1
иванович женился,1
женился ах,1
батюшка привел,1
привел бог,1
бог дожить,1
радости поздравляем,1
поздравляем батюшка,1
иваныч дай,1
бог несчетные,1
годы жить,1
жить деток,1
деток наживать,1
грешен виноват,1
сворачивал людям,1
забродит душе,1
музыку выработался,1
убитую жить,1
иначе стану,1
стану могу,1
могу полно,1
полно милый,1
милый илья,1
илья нехотя,1
нехотя станешь,1
станешь жить,1
живут считать,1
считать хозяйничать,1
хозяйничать читать,1
читать слушать,1
слушать музыку,1
выработался голос,1
видеть горькую,1
голос помнишь,1
помнишь casta,1
diva обломов,1
обломов замахал,1
рукой напоминал,1
напоминал едем,1
едем настаивал,1
штольц воля,1
воля отстанет,1
отстанет устану,1
устану огонь,1
огонь подчас,1
подчас достается,1
достается забродит,1
горькую убитую,1
зеркалом видеть,1
людям ильинским,1
гостить любовь,1
ильинским рассказал,1
рассказал никита,1
никита точно,1
точно клевета,1
клевета вышла,1
вышла ах,1
господи ах,1
боже твердил,1
твердил уходя,1
уходя переднюю,1
переднюю ольга,1
ольга зовет,1
зовет деревню,1
деревню гостить,1
любовь простыла,1
счастье зеркалом,1
простыла неопасно,1
неопасно ревновать,1
ревновать станешь,1
станешь поедем,1
поедем обломов,1
вздохнул андрей,1
андрей любви,1
любви ревности,1
ревности боюсь,1
боюсь поеду,1
поеду боишься,1
боишься боюсь,1
боюсь зависти,1
зависти счастье,1
ильич выпил,1
рюмки смородинной,1
ним жаром,1
легли агафья,1
дачу зажили,1
зажили роще,1
роще чай,1
чай стали,1
стали пить,1
пить ильинскую,1
заводы пошли,1
пошли телега,1
телега припасами,1
припасами самоваром,1
самоваром ехала,1
ехала траве,1
траве ковре,1
ковре легли,1
матвеевна выучила,1
сергеевной найми,1
выучила ольгу,1
ольгу сергевну,1
сергевну хозяйничать,1
хозяйничать право,1
право выучила,1
выучила плохо,1
плохо пошло,1
пошло брат,1
переехал дали,1
дали тысячи,1
тысячи таких,1
таких индеек,1
индеек наставил,1
наставил получаешь,1
найми дачу,1
сюда ольгой,1
штольц деваешь,1
обломов поцеловать,1
какими руками,1
руками заправляет,1
заправляет пирог,1
пирог агафья,1
матвеевна опрятность,1
опрятность штольц,1
слушал внимательно,1
внимательно навострив,1
уши белые,1
белые продолжал,1
продолжал значительно,1
значительно отуманенный,1
отуманенный вином,1
вином обломов,1
поцеловать грех,1
андрей сюда,1
грех стали,1
стали жестки,1
жестки крахмалит,1
крахмалит рубашки,1
рубашки чувством,1
чувством слезами,1
видел другим,1
другим жена,1
жена смотрит,1
смотрит славная,1
славная баба,1
баба агафья,1
матвеевна эх,1
эх андрей,1
получаешь штольц,1
деваешь долг,1
повар бог,1
ананасы персики,1
говори делается,1
делается история,1
история брат,1
плохо неловко,1
неловко должен,1
письму прошептал,1
вскочил хозяйке,1
припасы повторил,1
повторил ужасом,1
ужасом забирали,1
забирали жил,1
жил широко,1
широко помнишь,1
помнишь ананасы,1
персики задолжал,1
язык илья,1
задолжал бормотал,1
бормотал обломов,1
отвечал соображал,1
соображал брат,1
плохо точно,1
точно смотрит,1
смотрит голо,1
голо бедно,1
бедно грязно,1
грязно хозяйка,1
хозяйка женщина,1
обломов хвалит,1
хвалит смотрит,1
смотрит ним,1
илья говори,1
баранину язык,1
долг вырвалось,1
диван должен,1
обломова штольц,1
вскочил места,1
места долг,1
долг повторил,1
повторил долг,1
долг грозный,1
грозный учитель,1
учитель глядел,1
глядел прячущегося,1
прячущегося ребенка,1
ребенка обломов,1
замолчал штольц,1
штольц пересел,1
пересел диван,1
отрезвился опомнился,1
обломов баранину,1
опомнился никому,1
никому соврал,1
соврал лжешь,1
лжешь неискусно,1
неискусно илья,1
илья баранина,1
баранина кислое,1
кислое вино,1
вино денег,1
денег деваешь,1
деваешь точно,1
точно должен,1
должен хозяйке,1
припасы обломов,1
знает какими,1
обломовке повар,1
водки одну,1
баранины вареников,1
думаешь готовит,1
готовит анисья,1
анисья продолжал,1
анисья цыплятами,1
цыплятами ходит,1
ходит капусту,1
капусту полет,1
полет огороде,1
огороде полы,1
моет агафья,1
матвеевна делает,1
делает штольц,1
штольц ел,1
ел баранины,1
вареников положил,1
нахмурив брови,1
положил вилку,1
вилку смотрел,1
смотрел каким,1
каким аппетитом,1
аппетитом ел,1
ел обломов,1
обломов увидишь,1
увидишь рубашки,1
рубашки наизнанку,1
наизнанку обломов,1
обломов аппетитом,1
аппетитом обсасывая,1
обсасывая косточку,1
косточку осмотрит,1
брови думаешь,1
слушал нахмурив,1
увидит нештопанного,1
андрей попробуй,1
одну жадностью,1
жадностью принялся,1
принялся баранину,1
баранину вино,1
вино годится,1
годится штольц,1
штольц извини,1
извини второпях,1
второпях успели,1
успели сторону,1
сторону сходить,1
обломов смородинной,1
водки славная,1
славная андрей,1
попробуй налил,1
найдешь штольц,1
налил рюмку,1
рюмку выпил,1
выпил штольц,1
поглядел промолчал,1
промолчал агафья,1
матвеевна настаивает,1
настаивает славная,1
славная женщина,1
обломов опьянев,1
опьянев признаться,1
признаться знаю,1
деревне жить,1
жить хозяйки,1
хозяйки найдешь,1
осмотрит увидит,1
нештопанного чулка,1
пекли бывало,1
славная водка,1
подал форелей,1
форелей филе,1
филе первого,1
сорта агафья,1
матвеевна повара,1
повара чудес,1
чудес наделала,1
наделала выпил,1
рюмку водки,1
водки выпей,1
выпей андрей,1
андрей право,1
право выпей,1
выпей славная,1
водка ольга,1
целого осетра,1
сергевна этакой,1
этакой сделает,1
сделает нетвердо,1
нетвердо споет,1
споет casta,1
diva водки,1
водки сделать,1
сделать умеет,1
умеет пирога,1
пирога такого,1
такого цыплятами,1
цыплятами грибами,1
грибами сделает,1
сделает пекли,1
осетра подал,1
бараниной целого,1
чулка кофе,1
бывало кипит,1
варит угощу,1
угощу обеда,1
обеда штольц,1
слушал молча,1
молча озабоченным,1
озабоченным лицом,1
лицом брат,1
брат съехал,1
съехал жениться,1
жениться вздумал,1
вздумал хозяйство,1
хозяйство знаешь,1
знаешь большое,1
большое прежде,1
кипит руках,1
языком бараниной,1
руках утра,1
вечера летает,1
летает рынок,1
рынок гостиный,1
гостиный двор,1
двор знаешь,1
знаешь скажу,1
скажу плохо,1
плохо владея,1
владея языком,1
языком заключил,1
дай тысячи,1
тысячи потчевать,1
потчевать языком,1
пустить ребятишками,1
ребятишками стало,1
стало следствие,1
шаг жизни,1
шаги отца,1
отца перенял,1
перенял смотреть,1
смотреть жизни,1
жизни мелочи,1
мелочи шутя,1
шутя перенял,1
перенял педантическую,1
педантическую строгость,1
строгость которою,1
которою немцы,1
немцы сопровождают,1
сопровождают взгляд,1
свой шаг,1
жизни числе,1
делать простые,1
числе супружество,1
супружество таблица,1
таблица каменной,1
каменной скрижали,1
скрижали начертана,1
начертана открыто,1
открыто каждому,1
каждому старого,1
старого штольца,1
штольца подразумевать,1
подразумевать нечего,1
нечего мать,1
мать своими,1
своими песнями,1
простые шаги,1
выучился делать,1
нежным шепотом,1
женитьбу оригинально,1
