Word,TF-IDF Score
это,0.019209930449733497
сказал,0.01891483823081252
спросил,0.014598415985153806
ильич,0.006276104357942881
спросила,0.005708183340357708
сказала,0.005390673759985005
ах,0.005311056109967769
тебе,0.0052869690087817955
отчего,0.004154034041149499
боже,0.003985287032077372
жизнь,0.0039025786459170302
отвечал,0.0035910090195243635
думал,0.0034477922898223058
такое,0.0032509665871339865
жизни,0.0031124297547565406
глаза,0.003111898637048957
делать,0.0031053441223068915
знаю,0.0030012850035265205
дело,0.0029554288354593167
сказать,0.0028782379270425604
прибавил,0.002853109166500821
дома,0.0026622760374858815
день,0.002657438876669023
письмо,0.002651931793786639
человек,0.00264024411518944
завтра,0.002585662640260979
глядя,0.002458334032923131
сегодня,0.0023715009711728478
давно,0.0023677550543432287
тобой,0.0023581995484445685
бог,0.0023309683824278174
заметил,0.0023297995318570766
продолжал,0.0022518121850614403
повторил,0.002210748319456434
молчал,0.0022100132227800087
тихо,0.002198923497192419
говорила,0.002194788072425863
голову,0.0021741824393823853
нужно,0.0021626967494925093
знает,0.0021211244434466868
перебил,0.002117512394084493
руку,0.0020628053933518056
жить,0.0020318862099409207
кажется,0.0020289464218063305
лицо,0.0020065011927227557
сколько,0.00200616501899671
оно,0.0019692691682251864
руки,0.0018990581510604412
очень,0.0018848199835187123
начал,0.0018825530498445598
знаешь,0.0018680598410037066
барин,0.0018616542247472737
какие,0.0018461053748811823
возразил,0.0018403683487176181
хотел,0.0018259217319680889
иван,0.0018060283028733168
правда,0.0018005366350640132
поди,0.0017774905363518694
хозяйка,0.001725652726268872
подумал,0.0017240263392130242
сердце,0.0016935993877209626
денег,0.0016825549666110592
отвечала,0.0016795113600281061
вздохнул,0.001669331809896637
деле,0.0016568767148335784
самом,0.001654379159257896
прибавила,0.0016431839072461212
долго,0.0016389839910333679
любовь,0.001638729795255694
взгляд,0.001616572209675389
головой,0.0016110382607398047
говорит,0.0016076146632548504
пошел,0.0015987747392732328
стал,0.0015799923100671294
скажет,0.001565477377797751
нему,0.0015618074594495736
слова,0.001560183527224078
скажу,0.0015498409411658363
стало,0.0015497408347505115
дай,0.0015479288695097026
могу,0.0015470986933639372
нем,0.0015356913553788332
видишь,0.0015321689707669013
две,0.0015279166521914977
любви,0.0015184105554170374
матвеевич,0.0015065034914534302
дом,0.0015060802365960725
одна,0.0015048756703234887
господи,0.0014928231043775907
сама,0.0014905663976625965
друг,0.0014524094707455903
лет,0.0014483197361804757
вами,0.0014473868354675712
говорить,0.0014433524236424557
своей,0.0014296465971347884
произнес,0.0014284652423630685
глазами,0.0014278626475932497
взял,0.0014250405905118701
мысль,0.0014246122393805347
сюда,0.001411385513291474
немного,0.0014046597121823027
точно,0.0013916458241976784
дверь,0.0013786513552506144
деньги,0.0013751694497873164
мало,0.001352392506088385
знать,0.001345281730927789
люблю,0.0013442546808234478
нам,0.0013433950059246822
говорят,0.001342372530442568
собой,0.0013413464384607254
право,0.0013386874559479039
пусть,0.0013359536174772713
рублей,0.0013191727185518647
кого,0.001315917073461968
свое,0.0013144703655486591
барина,0.0013121643338942265
деревню,0.0013081350021248044
год,0.0012949242436283471
лице,0.0012926539898601278
заключил,0.0012883935046598771
туда,0.0012858858204325987
той,0.0012711567022595837
откуда,0.0012651503454657687
дела,0.001264514940411313
ехать,0.0012628998748003555
прежде,0.0012500705077097178
какое,0.0012400558315005885
любит,0.001238851158367402
значит,0.0012286878083291569
мной,0.0012262325674118086
обедать,0.0012228636037110694
квартиру,0.0012207761267162961
весь,0.0012051306624256527
сергеевна,0.0012016147397638695
который,0.0011976510830010417
мог,0.0011951286432538661
скорей,0.0011917571733105294
другие,0.0011853385905454855
свой,0.0011846658303862122
время,0.0011790445805650426
сделал,0.0011782346759304759
глаз,0.0011765213357551089
агафья,0.0011756319909552058
скучно,0.0011752946929762097
слезы,0.0011690658098779544
отец,0.0011671807252508592
задумался,0.0011665353855333895
доме,0.001165576131757214
тетка,0.0011514182888242254
скажи,0.0011484312151444627
своего,0.0011443715813408163
счастье,0.0011426103635210033
видел,0.0011325835529035367
пойдем,0.0011323988918028752
голос,0.0011277768865177794
читал,0.0011262678208362087
другого,0.0011241921180145534
задумчиво,0.0011144413965169023
ужасом,0.0011082706847940062
этим,0.0011037445512871598
домой,0.0011008370275868537
должен,0.001095367978699092
ума,0.001094754277931822
рукой,0.0010934742800617794
твердил,0.001092270405936423
пришел,0.001087401486993296
сердца,0.0010873200569349632
смотри,0.0010836619877966456
сторону,0.0010742762508818902
заговорил,0.0010742546832784013
несколько,0.00107058441326901
минуту,0.0010702692184140735
эта,0.00107020464219936
думала,0.0010684656798166912
сделать,0.0010633880505625868
знал,0.0010623979288095094
писать,0.0010620422163314268
ушел,0.0010614132133289897
хочешь,0.0010526972486004636
нечего,0.0010525209746469857
смотрел,0.0010439266146092664
молчала,0.0010431712108174556
пожалуй,0.0010386599349835554
вчера,0.001038181335945526
никто,0.0010376190012450453
должно,0.0010364318545631247
выдумал,0.0010353380016736543
такая,0.0010280076901217656
вперед,0.0010278343551616055
