Фамилия Имя Отчество,Дата смерти,Количество лет
Кегель Вячеславъ Леопольдовичъ,25 января 1887,42
Кемецкая Татьяна Яковлевна,3 ноября 1842,-
Ненигъ Николай Романовичъ,4 марта 1862,-
Кенигъ Романъ Ивановичъ,15 іюля 1857,-
Кислова Неонилла Николаевна,27 сентября 1871,84
Клейстъ Ольга Николаевна,1 января 1871,-
Клеопина Клеопатра Павловна,15 февраля 1892,74
Климова Софья Александровна,17 января 1891,-
Климовичъ Каролина Карловна,25 іюня 1889,-
Клочковъ Илья Ильичъ,24 января 1894,-
Ключаревъ Петръ Васильевичъ,15 сентября 1899,-
Кнорре Надежда Капитоновна,16 октября 1879,-
Князевъ Викторъ Степановичъ,26 марта 1906,-
Кожевникова Екатерина Александровна,7 февраля 1907,-
Ножина Зинаида Николаевна,20 февраля 1873,-
Ножинъ Иванъ Антоновичъ,26 сентября 1873,38
Кожинъ Иванъ Никитичъ,15 августа 1814,65
Кожинъ Николай Осиповичъ,16 декабря 1820,-
Козлова Валентина Николаевна,1 іюля 1908,-
Козлова Прасковья Степановна,18 іюля 1829,-
Козловъ Константинъ Ивановичъ,24 ноября 1873,-
Козловъ Николай Александровичъ,28 февраля 1898,-
Нозловъ Николай Петровичъ,24 января 1872,-
Козлянинова Александра Яковлевна,24 сентября 1856,-
Козлянинова Екатерина Яковлевна,10 іюля 1835,-
Козляниновъ Александръ Ивановичъ,14 марта 1863,-
Козляниновъ Яковъ Петровичъ,14 іюля 1861,-
Козодавлевъ Степанъ Васильевичъ,13 января 1730,-
Коковцева Елизавета Ивановна,4 іюля 1843,-
Кокошкина Варвара Семеновна,17 іюня 1851,-
Коленская Екатерина Борисовна,29 марта 1900,-
Колокольцовъ Иванъ Александровичъ,19 іюня 1868,-
Колчина Александра Тимоееевна,8 сентября 1856,19
Колюбакинъ Николай Александровичъ,20 февраля 1911,-
Колюпанова Елизавета Петровна,21 мая 1883,-
Колюпановъ Нилъ Петровичъ,10 іюня 1894,-
Колюпановъ Петръ Николаевичъ,21 сентября 1852,-
Комаровъ Иванъ Ивановичъ,3 марта 1897,40
Коиаръ Иванъ Ивановичъ,6 февраля 1806,-
Коновалова Матрона Ивановна,9 сентября 1895,-
Коновалова Параскева Васильевна,8 ноября 1844,46
Коноваловъ Осипъ Петровичъ,3 января 1856,-
Кононова Параскева Филипповна,30 января 1894,-
Коноплинъ Иванъ Николаевичъ,18 февраля 1884,66
Константиновъ Петръ Ивановичъ,22 мая 1812,-
Коншина Александра Яковлевна,14 мая 1856,-
Коншина Анна Ивановна,20 сентября 1814,-
Коншина Олыа Николаерна,18 ноября 1887,-
Коншинъ Александръ Николаевичъ,9 сентября 1912,-
Коншинъ Николай Максимовичъ,28 декабря 1853,-
Конькова Елизавета Яковлевна,20 января 1895,82
Коняевъ Кузьма Васильевичъ,29 октября 1876,39
Коптева Елизавета Стефановна,26 декабря 1841,-
Коптевъ Николай Николаевичъ,17 сентября 1872,-
Коптевъ Николай Николаевичъ,12 мая 1897,-
Коптевъ Николай Ниловичъ,11 іюня 1907,-
Коптевъ Петръ Яковлевичъ,12 мая 1880,-
Корбутовская Варвара Андреевна,13 іюня 1889,68
Иорбутовская Екатерина Петровна,24 мая 1892,71
Корбутовская Надежда Павловна,29 октября 1903,67
Корейшъ Иванъ Яковлевичъ,6 сентября 1861,-
Корзинкина Екатерина Николаевна,16 января 1824,-
Корнилова Анна Ивановна,17 іюля 1871,-
Корнилова Екатерина Петровна,10 мая 1870,-
Корниловъ Николай Павловичъ,19 іюня 1872,-
Корниловъ Николай Петровичъ,4 января 1889,-
Корниловъ Петръ Николаевичъ,31 іюля 1902,-
Корнина Ульяна Яковлевна,3 марта 1803,60
Коровина Надежда Степановна,29 августа 1847,-
Коровинъ Иванъ Степановичъ,27 іюня 1840,-
Корсакова Варвара Александровна,21 іюля 1820,-
Аракчеева Кадетскаго Корпуса,31 января 1852,-
Косаговская Анна Николаевна,14 декабря 1823,32
Косаговская Екатерина Семеновна,18 августа 1860,-
Костерева Ирина Ивановна,5 марта 1820,71
Костеревъ Александръ Григорьевичъ,2 іюля 1833,30
Костеревъ Михаилъ Ивановичъ,16 сентября 1846,46
Костюрина Анна Григорьевна,27 октября 1875,-
Костюринъ Иванъ Михайловичъ,15 ноября 1812,-
Кошелевъ Степанъ Григорьевичъ,21 марта 1758,72
Краббе Северинъ Карловичъ,4 іюня 1876,55
Крамаревъ Иванъ Ивановичъ,14 іюля 1828,-
Ирасюкъ Николай Александровичъ,11 января 1905,-
Кратирова Александра Архипповна,20 іюня 1871,-
Крекшина Анна Ивановна,12 іюня 1845,-
Крекшинъ Николай Константиновичъ,4 августа 1902,-
Кривцова Варвара Евграфовна,3 іюля 1873,62
Кривцова Елизавета Ильинична,6 марта 1800,-
Нривцовъ Николай Денисовичъ,12 октября 1882,-
Критская Елизавета Ивановна,18 іюля 1847,47
Кропотовъ Николай Михаиловичъ,16 августа 1787,-
Крохоняткинъ Андрей Ивановичъ,8 августа 1878,-
Крохоняткинъ Семенъ Ивановичъ,2 ноября 1900,-
Кругликовъ Александръ Александровичъ,23 ноября 1886,-
Крутиковъ Викторъ Васильевичъ,31 іюля 1877,-
Крутиковъ Михаилъ Викторовичъ,6 октября 1898,-
Крутиковъ Иванъ Степановичъ,2 февраля 1909,-
Нручинина Александра Григорьевна,14 іюля 1887,-
Кудрявцева Варвара Стефановна,21 декабря 1902,-
Иудрявцева Капитолина Васильевна,8 января 1891,-
Кудрявцевъ Петръ Ивановичъ,15 декабря 1795,65
Кузнецовъ Левъ Петровичъ,20 мая 1886,-
Кузьмина Александра Семеновна,26 октября 1866,60
Кузьминъ Константинъ Семеновичъ,26 ноября 1905,33
Кузыиинъ Семенъ Андреевичъ,19 мая 1802,-
Караваева Варвара Николаевна,1 сентября 1894,-
Кулаковъ Захаръ Петровичъ,3 іюня 1905,-
Култашева Матрона Михайловна,18 іюля 1819,72
Култашева Стефанида Ивановна,16 января 1827,-
Купреянова Варвара Михайловна,16 ноября 1884,-
Купреяновъ Александръ Павловичъ,7 января 1906,-
Курзаковъ Николай Васильевичъ,21 ноября 1875,47
Курочкина Дарья Ивановна,11 декабря 1787,-
Нутузова Анна Григорьевна,5 декабря 1874,-
Кутузова Анна Николаевна,2 января 1892,-
Кутузова Елизавета Григорьевна,5 февраля 1840,-
Кутузова Мавра Ивановна,12 ноября 1849,-
Нутузова Ольга Васильевна,2 іюня 1872,-
Кутузовъ Александръ Васильевичъ,3 августа 1871,-
Нутузовъ Иванъ Евграфовичъ,15 августа 1872,33
Кушелева Любовь Ивановна,6 марта 1897,-
Лабзина Акилина Ивановна,5 августа 1867,-
Лавинская Елизавета Александровна,21 марта 1876,-
Лаврецова Параскева Яковлевна,1 іюля 1862,-
Ладыгина Александръ Николаевичъ,8 января 1872,-
Ладыгинъ Николай Петровичъ,23 мая 1858,49
Ладыгинъ Петръ Ивановичъ,17 февраля 1851,77
Лампсаковъ Николай Павловичъ,25 іюня 1889,-
Ланге Елисавета Стефановна,26 мая 1889,-
Ланской Александръ Петровичъ,20 ноября 1844,-
Лапинъ Иванъ Семеновичъ,31 іюля 1901,-
Лапшинъ Степанъ Никитичъ,15 іюля 1854,-
Латурнеръ Анна Михайловна,13 іюня 1873,-
Лаубе Анна Антиповна,15 декабря 1870,-
Лаханинъ Иванъ Ивановичъ,17 февраля 1870,-
Лачиновъ Михаилъ Андреевичъ,15 ліарта 1850,-
Лебедевъ Михаилъ Ильичъ,30 октября 1879,-
Левашева Параскева Ивановна,25 іюня 1846,-
Левашовъ Стефанъ Николаевичъ,13 августа 1855,75
Левелингъ Игорь Карловичъ,5 февраля 1867,-
Левенгофъ Анна Николаевна,11 марта 1881,91
Леденцова Ольга Ивановна,20 декабря 1891,-
Лентау Екатерина Ивановна,14 января 1849,-
Леонтьева Параскева Петровна,30 сентября 1874,53
Леонтьевъ Иванъ Петровичъ,28 января 1783,-
Леонтьевъ Михаилъ Павловичъ,27 февраля 1883,-
Леонтьевъ Михаилъ Ивановичъ,21 декабря 1885,-
Лермонтовъ Николай Петровичъ,20 февраля 1875,56
Летюхина Александра Петровна,5 октября 1864,-
Линева Александра Александровна,29 марта 1869,-
Линева Елизавета Ивановна,19 марта 1833,-
Лисицына Ирина Петровна,3 февраля 1851,-
Литвинова Екатерина Петровна,25 марта 1877,67
Литовъ Иванъ Степановичъ,15 февраля 1844,-
Лихарева Ирина Терентьевна,24 декабря 1903,-
Лихачева Аделаида Ростиславовна,16 августа 1848,-
Лобановъ Яковъ Петровичъ,26 октября 1896,76
Ловейко Варвара Ивановна,2 іюля 1840,-
Логачевъ Семенъ Васильевичъ,22 мая 1899,-
Логинова Прасковья Яковлевна,5 января 1912,-
Лоде Егоръ Карловичъ,10 декабря 1844,-
Лодыгинъ Николай Ивановичъ,12 января 1864,-
Ложкинъ Всеволодъ Всеволодовичъ,9 февраля 1897,-
Лозинская Анна Ивановна,31 іюля 1900,-
Ломаковъ Ефимъ Васильевъ,23 августа 1694,-
Ломанъ Михаилъ Петровичъ,20 августа 1883,-
Лопатина Варвара Григорьевна,25 декабря 1895,-
Лопатинъ Александръ Ивановичъ,15 іюля 1853,-
Лопатинъ Павелъ Ивановичъ,21 марта 1881,-
Лопухина Надежда Никитична,20 мая 1831,-
Лопухина Ольга Андреевна,2 января 1816,-
Лосева Надежда Петровна,20 мирта 1867,-
Лошаковъ Нилъ Ивановичъ,4 іюня 1897,69
Лошкарева Екатерина Яковлевна,16 мая 1894,-
Лошкаревъ Иванъ Яковлевичъ,13 іюня 1853,40
Лошкаревъ Семенъ Яковлевичъ,16 мая 1893,-
Лошкаревъ Стефанъ Яковлевичъ,15 января 1833,28
Лупандина Любовь Филипповна,21 декабря 1896,75
Лупандина Ольга Филипповна,2 февраля 1882,-
Лутковская Анна Ивановна,11 августа 1864,70
Лучакъ Иванъ Андреевичъ,6 марта 1877,79
Львова Анна Григорьевна,24 января 1828,-
Львова Варвара Николаевна,9 іюля 1844,-
Львовъ Иванъ Ивановичъ,24 января 1786,-
Львовъ Иванъ Ивановичъ,9 октября 1793,-
Львовъ Иванъ Львовичъ,10 марта 1875,-
Львовъ Константинъ Львовичъ,27 сентября 1865,65
Львовъ Никита Ивановичъ,4 января 1836,-
Львовъ Николай Петровичъ,19 іюня 1788,62
Львовъ Петръ Львовичъ,11 сентября 1828,32
Львовъ Петръ Петровичъ,25 мая 1794,-
Любавская Варвара Михайловна,6 декабря 1884,-
Любимовъ Иванъ Васильевичъ,1 іюля 1856,-
Люсинова Александра Ивановна,1 іюля 1904,46
Лялина Серафима Петровна,6 января 1862,-
Лялинъ Михаилъ Ильичъ,20 января 1893,-
Лялинъ Николай Михайловичъ,8 октября 1906,-
Лялинъ Петръ Ивановичъ,18 сентября 1830,-
Ляпуновъ Семенъ Ефимовичъ,8 мая 1848,-
Маврина Анна Александровна,14 февраля 1874,-
Маврина Прасковья Мироновна,31 января 1784,-
Маврина Прасковья Яковлевна,22 февраля 1887,-
Мавринъ Александръ Михайловичъ,13 декабря 1862,-
Майкова Варвара Васильевна,19 февраля 1848,-
Майкова Татьяна Васильевна,9 декабря 1817,73
Майковъ Михаилъ Петровичъ,20 декабря 1884,-
Макаровъ Иванъ Николаевичъ,26 сентября 1887,-
Макаровъ Павелъ Васильевичъ,14 января 1852,-
Малово Леонидъ Николаевичъ,21 ноября 1905,-
Мальковская Екатерина Степановна,13 ноября 1851,80
Мальковская Зинаида Александровна,9 марта 1875,-
Маляковъ Николай Андреевичъ,12 ноября 1820,34
Мамоновъ Платонъ Ивановичъ,8 іюля 1889,-
Мамонтова Елизавета Григорьевна,28 октября 1908,-
Мамышева Екатерина Ивановна,15 декабря 1893,65
Мамышева Ольга Васильевна,21 февраля 1898,61
Мамышевъ Михаилъ Васильевичъ,9 декабря 1906,66
Манзей Логгинъ Михайловичъ,17 декабря 1803,-
Манзей Николай Николаевичъ,12 мая 1889,61
Манкошевъ Николай Петровичъ,12 іюня 1862,-
Манкошевъ Петръ Николаевичъ,30 декабря 1848,-
Манухина Анна Ивановна,2 іюля 1825,83
Манухина Анна Николаевна,25 сентября 1812,54
Манухина Любовь Михайловна,22 ноября 1906,-
Марина Ираида Михайловна,20 іюля 1903,-
Марисова Елизавета Николаевна,13 мая 1873,-
Маркова Анна Леонтьевна,27 мая 1814,-
Марковникова Александра Александровна,9 іюня 1889,62
Марковъ Никаноръ Михайловичъ,1 ноября 1783,-
Марковъ Никаноръ Михайловичъ,10 іюля 1866,69
Мармылевъ Иванъ Петровичъ,7 марта 1837,-
Мартыновъ Иванъ Мартыновичъ,6 ноября 1840,69
Мартюшовъ Константинъ Ростиславовичъ,22 іюля 1909,-
Марченко Павелъ Васильевичъ,8 декабря 1883,55
Маслениковъ Николай Ивановичъ,3 іюля 1900,-
Маслова Ольга Степановна,6 августа 1828,-
Маслоковецъ Алексапдра Ивановна,27 сентября 1877,67
Межаковъ Николай Александровичъ,27 декабря 1876,40
Мейнике Петръ Ивановичъ,28 января 1885,-
Мейснеръ Иванъ Яковлевичъ,28 января 1857,-
Мейснеръ Якобина Яковлевна,4 сентября 1862,-
Мелиссино Иванъ Ивановичъ,23 марта 1725,-
Меллеръ Петръ Ивановичъ,2 января 1887,-
Мельниковъ Павелъ Петровичъ,22 іюля 1880,-
Мельниковъ Петръ Ивановичъ,5 мая 1859,82
Мельницкая Варвара Львовна,12 сентября 1899,60
Мельницкая Любовь Логиновна,16 сентября 1854,-
Мельницкая Ольга Порфирьевна,13 іюня 1846,-
Мельницкая Павла Петровна,23 января 1882,-
Меншикова Фелицата Аврамовна,10 октября 1895,-
Меркулова Варвара Яковлевна,4 мая 1852,-
Мерцалова Алевтина Ивановна,7 сентября 1876,-
Метелкинъ Петръ Ивановичъ,12 декабря 1867,-
Микляева Елена Ивановна,26 февраля 1864,-
Микляевъ Иванъ Степановичъ,3 декабря 1885,-
Микляевъ Митрофанъ Митрофановичъ,2 ноября 1862,-
Милашевичъ Надежда Ивановна,20 декабря 1859,16
Милашевичъ Настасья Максимовна,18 марта 1881,75
Милашевичъ Петръ Ивановичъ,1 мая 1882,38
Милькова Елизавета Михайловна,18 января 1892,-
Милюкова Агриппина Кононовна,4 сентября 1863,-
Николая Кононовича Милюкова,23 октября 1907,-
Милюкова Параскева Ивановна,1 октября 1848,67
Милюкова Софья Андреевна,19 ноября 1810,70
Милюковъ Владиславъ Ивановичъ,14 сентября 1864,-
Милюковъ Михаилъ Николаевичъ,5 мая 1867,-
Милюковъ Михаилъ Николаевичъ,7 сентября 1875,29
Милюковъ Никита Яковлевичъ,7 мая 1808,73
Милюковъ Николай Петровичъ,5 декабря 1889,-
Милюковъ Павелъ Ивановичъ,4 мая 1792,32
Милюковъ Петръ Андреевичъ,11 іюня 1873,69
Милюковъ Петръ Яковлевичъ,9 октября 1877,55
Миндовская Харитина Михайловна,21 мая 1851,-
Минина Анна Никитична,12 марта 1846,-
Мировичъ Иванъ Ивановичъ,22 января 1846,-
Мистрова Варвара Ильинична,20 іюля 1817,66
Мистрова Екатерина Александровна,20 октября 1889,35
Мистрова Надежда Ивановна,1 января 1901,75
Мистровъ Антонъ Ивановичъ,9 февраля 1845,86
Мистровъ Егоръ Патаповичъ,26 марта 1843,73
Мистровъ Ефремъ Ивановичъ,3 ноября 1782,-
Мистровъ Иванъ Ефремовичъ,1 января 1799,-
Мистровъ Иванъ Ивановичъ,15 августа 1852,-
Митрино Анна Петровна,28 февраля 1872,-
Михельсонъ Адамъ Яковлевичъ,31 мая 1891,73
Михневичъ Акилина Александровна,31 августа 1890,-
Мичурина Александра Ивановна,27 марта 1836,58
Мичуринъ Михаилъ Васильевичъ,3 іюля 1884,66
Модзалевская Ольга Кузьминична,20 февраля 1881,-
Моллеръ Цезарь Карловичъ,8 августа 1866,-
Молчанова Елизавета Петровна,6 ноября 1903,-
Монинъ Михаилъ Никитичъ,1 ноября 1865,-
Мордвинова Авдотья Яковлевна,11 сентября 1834,70
Мордвиновъ Александръ Николаевичъ,22 іюля 1847,54
Мордвиновъ Петръ Яковлевичъ,25 октября 1799,-
Морозовъ Константинъ Михайловичъ,5 іюня 1843,48
Мохрякова Ольга Ивановна,6 января 1888,-
Маравьева Елизавета Антоновна,17 іюня 1877,-
Муромцевъ Павелъ Степановичъ,3 іюня 1822,-
Мячиковъ Константинъ Николаевичъ,12 октября 1874,-
Мячиковъ Николай Константиновичъ,29 іюня 1838,-
Мячкова Варвара Васильевна,27 февраля 1798,-
Мячковъ Иванъ Васильевичъ,26 марта 1883,-
Мячковъ Никифоръ Петровичъ,28 сентября 1835,70
Мячковъ Павелъ Александровичъ,9 іюля 1833,-
Мячковъ Петръ Васильевичъ,26 августа 1788,58
Набоковъ Павелъ Васильевичъ,12 мая 1870,-
Нагинъ Лука Петровичъ,10 марта 1645,-
Нагинъ Петръ Андреевичъ,22 іюня 1648,-
Назимова Агриппина Александровна,10 сентября 1845,54
Назииова Варвара Яковлевна,11 сентября 1865,-
Назимова Екатерина Ивановна,25 августа 1896,-
Назимова Екатерина Лазаревна,9 іюня 1825,-
Назимовъ Иванъ Ивановичъ,25 іюля 1893,75
Могилевскаго Окружного Суда,26 ноября 1912,-
Назимовъ Николай Никитичъ,3 іюня 1791,-
Назимовъ Петръ Львовичъ,6 іюня 1898,-
Нартова Александра Александровна,5 ноября 1805,-
Нартова Ольга Константиновна,27 ноября 1855,-
Нарышкина Елизавета Семеновна,16 мая 1819,76
Наумова Елизавета Карловна,7 февраля 1911,-
Наумовъ Андрей Андреевичъ,14 мая 1809,-
Небольсинъ Иванъ Петровичъ,29 декабря 1836,-
Небольсинъ Платонъ Ивановичъ,28 іюля 1848,52
Нееловъ Капитонъ Андреевичъ,11 іюня 1872,-
Незнаиова Екатерина Николаевна,9 октября 1854,-
Нейдгартъ Михаилъ Александровичъ,22 мая 1862,-
Неклюдова Анна Францевна,1 августа 1912,-
Неклюдовъ Иванъ Ивановичъ,8 марта 1840,-
Некрасова Александра Ивановна,15 января 1856,47
Нелидова Александра Петровна,10 іюля 1857,-
Нелидовъ Иванъ Александровичъ,19 сентября 1887,-
Нелидовъ Николай Александровичъ,22 октября 1866,-
Неплюевъ Иванъ Ивановичъ,22 октября 1858,-
Нечаева Елизавета Ананьевна,11 января 1862,72
Нечаевъ Петръ Андреевичъ,9 марта 1863,-
Никитина Екатерина Карповна,3 февраля 1836,-
Никитинъ Михаилъ Ефимовичъ,15 декабря 1880,-
Никитинъ Николай Львовичъ,3 ноября 1885,-
Николаевъ Николай Аеанасьевичъ,9 мая 1900,-
Николевъ Николай Петровичъ,24 января 1815,-
Ниловъ Иванъ Стефановичъ,22 января 1869,-
Ниловъ Степанъ Ивановичъ,28 декабря 1866,36
Новиковъ Александръ Николаевичъ,23 февраля 1879,35
Новиковъ Конрадъ Григорьевичъ,5 мая 1890,-
Новиковъ Павелъ Николаевичъ,18 февраля 1910,-
Новокщеновъ Николай Ивановичъ,20 февраля 1899,-
Новоселовъ Петръ Семеновичъ,3 іюля 1897,92
Новосильцевъ Петръ Ивановичъ,10 іюля 1797,45
Новоторжцева Екатерина Яковлевна,1 ноября 1886,59
Новоторжцевъ Петръ Антоновичъ,20 февраля 1886,73
Нолле Михаилъ Ивановичъ,4 августа 1885,-
Нояле Николай Михайловичъ,18 мая 1908,-
Норейко Михаилъ Константиновичъ,17 декабря 1890,-
Нормадцкая Ольга Карповна,23 декабря 1855,80
Носовичъ Венедиктъ Львовичъ,24 марта 1894,-
Ностицъ Карлъ Карловичъ,16 ноября 1879,-
Нотбекъ Елизавета Николаевна,10 января 1895,-
Нотбекъ Николай Борисовичъ,15 іюня 1851,-
Обольянинова Александра Николаевна,23 іюня 1884,-
Обухова Екатерина Васильевна,1 декабря 1877,-
Обухова Елена Васильевна,17 іюня 1863,-
Обуховъ Михаилъ Павловичъ,8 мая 1876,-
Обуховъ Трофимъ Ивановичъ,28 сентября 1887,-
Овсянниковъ Николай Ивановичъ,8 января 1859,-
Овцынъ Александръ Петровичъ,7 марта 1840,37
Огарева Дарья Артемьевна,11 іюля 1902,75
Огильви Николай Александровичъ,16 августа 1903,-
Огнянова Ираида Михайловна,31 октября 1863,73
Огнянова Любовь Андреевна,8 февраля 1863,48
Огняновъ Константинъ Михайловичъ,28 марта 1890,50
Огняновъ Николай Ивановичъ,20 мая 1887,40
Одинцовъ Илья Яковлевичъ,21 ноября 1897,-
Озерова Анна Яковлевна,22 марта 1857,-
Ознобишинъ Степанъ Петровичъ,30 октября 1804,-
Окновъ Михаилъ Васильевичъ,9 мая 1891,-
Окуневъ Андрей Прокофьёвичъ,7 марта 1656,-
Окуневъ Николай Петровичъ,7 іюня 1872,-
Олисовъ Иванъ Ивановичъ,16 ноября 1882,-
Оловянишникова Ольга Ивановна,20 февраля 1847,-
Орлова Анна Поликарповна,13 августа 1792,-
Орлова Матрона Васильевна,21 февраля 1871,-
Орлова Ольга Егоровна,3 сентября 1891,45
Орловъ Косма Ильичъ,20 ноября 1863,74
Осипова Елизавета Ивановна,25 февраля 1852,-
Осиповъ Иванъ Софоновичъ,5 февраля 1824,-
Осиповъ Николай Михайловичъ,27 января 1893,-
Осоргина Екатерина Саввична,5 декабря 1859,-
Осоргинъ Михаилъ Саввичъ,5 декабря 1859,-
Остафьевъ Александръ Семеновичъ,15 декабря 1821,-
Отрыганьева Серафима Петровна,23 декабря 1888,-
Очкина Прасковья Александровна,24 августа 1888,-
Ошанинъ Александръ Михайловичъ,3 января 1807,42
Ошанинъ Петръ Васильевичъ,30 мая 1785,52
Павлова Анна Михайловна,9 октября 1849,44
Павловичъ Михаилъ Яковлевичъ,3 ноября 1893,-
Павловичъ Ольга Тимоееевна,16 іюня 1896,-
Павловъ Борисъ Антоновичъ,18 іюня 1878,-
Павловъ Ипполитъ Николаевичъ,23 августа 1882,-
Павловъ Николай Ивановичъ,15 мая 1885,-
Павловъ Павелъ Николаевичъ,17 сентября 1869,69
Паевская Аделаида Николаевна,25 декабря 1908,-
Пазухинъ Александръ Васильевичъ,14 мая 1865,-
Палибина Александра Ивановна,12 іюня 1911,-
Палицынъ Александръ Ивановичъ,24 января 1781,-
Пальчикова Александра Ивановна,21 декабря 1814,-
Панафидина Анна Никитична,3 декабря 1843,83
Панафидина Варвара Петровна,10 сентшзші 1881,-
Панафидина Екатерина Петровна,27 ноября 1862,-
Панафидина Ирина Павловна,5 января 1877,-
Панафидина Татьяна Егоровна,7 іюня 1855,-
Панафидинъ Егоръ Петровичъ,23 октября 1895,-
Панафидинъ Иванъ Ниловичъ,24 мая 1889,65
Панафидинъ Павелъ Петровичъ,3 декабря 1872,46
Пантюхинъ Николай Ивановичъ,25 іюля 1881,-
Парская Александра Андреевна,17 января 1879,-
Пастуховъ Николай Петровичъ,5 декабря 1909,-
Патерина Стефанида Михайловна,28 ноября 1848,-
Пащенко Мануилъ Даниловичъ,16 іюля 1867,46
Пащенко Николай Стефановичъ,22 іюля 1894,68
Первова Прасковья Ивановна,5 іюля 1851,-
Первухина Елизавета Ивановна,22 августа 1906,-
Передкова Варвара Лаврентьевна,31 декабря 1895,-
Перская Алевтина Яковлевна,16 октября 1896,83
Перская Анна Яковлевна,1 января 1894,83
Перская Екатерина Ивановна,14 мая 1805,53
Перская Елизавета Яковлевна,28 ноября 1801,-
Перхуровъ Николай Андреевичъ,20 іюля 1802,-
Пестель Варвара Александровна,28 іюня 1838,-
Пестеревъ Иванъ Ивановичъ,11 іюня 1819,54
Петрова Варвара Александровна,19 іюля 1845,53
Петровъ Левъ Семеновичъ,13 января 1844,-
Пироговъ Косма Савельевичъ,16 августа 1865,-
Пироговъ Кузьма Кузьмичъ,6 декабря 1880,24
Пироговъ Михаилъ Кузьмичъ,18 іюля 1849,26
Пироговъ Николай Кузьмичъ,12 мая 1891,38
Пироговъ Павелъ Савельевичъ,5 марта 1859,37
Писаревъ Всеволодъ Андреевичъ,30 августа 1888,-
Писемская Глафира Никаноровна,24 декабря 1908,-
Плетнева Екатерина Ивановна,27 января 1908,-
Плещеева Елена Михайловна,29 мая 1773,33
Плотникова Елизавета Степановна,17 января 1868,-
Подашевская Елизавета Ивановна,26 января 1899,-
Подушкина Антонина Антоновна,26 марта 1889,-
Подушкинъ Антонъ Яковлевичъ,14 ноября 1880,-
Пожарская Анна Ивановна,2 декабря 1905,65
Позенъ Александра Павловна,4 ноября 1908,-
Позенъ Александръ Ивановичъ,7 іюля 1893,-
Позняковъ Леонидъ Ивановичъ,9 января 1888,-
Поливанова Александра Андреевна,6 августа 1904,-
Поливанова Александра Ивановна,29 августа 1839,-
Поливанова Анна Григорьевна,8 января 1841,56
Поливанова Надежда Петровна,23 іюля 1891,-
Поливановъ Михаилъ Александровичъ,11 августа 1880,-
Доливановъ Николай Михайловичъ,30 іюля 1825,-
Поливановъ Николай Петровичъ,2 ноября 1909,-
Поликарпова Александра Васильевна,12 октября 1852,75
Поликарповъ Николай Васильевичъ,16 марта 1837,62
Половцевъ Александръ Андреевичъ,9 мая 1892,-
Полтининъ Иванъ Петровичъ,12 іюня 1844,-
Полторацкая Варвара Михайловна,25 марта 1842,80
Полторацкая Варвара Николаевна,23 августа 1903,19
Полякова Акилина Ивановна,17 октября 1849,-
Полякова Анна Ивановна,14 марта 1913,-
Полякова Анна Кузьминична,22 іюля 1849,-
Полянская Прасковья Семеновна,26 сентября 1815,-
Померанцева Елена Васильевна,21 ноября 1882,-
Попова Александра Васильевна,18 октября 1866,89
Попова Анна Михайловна,21 ноября 1911,-
Поповъ Иванъ Ивановичъ,1 августа 1910,-
Поповъ Петръ Ивановичъ,18 марта 1879,-
Порошина Александра Николаевна,1 сентября 1858,-
Порошинъ Вячеславъ Семеновичъ,29 октября 1878,-
Поскочина Екатерина Васильевна,19 августа 1866,-
Поскочина Любовь Васильевна,9 августа 1869,-
Поссе Елизавета Яковлевна,8 іюня 1904,-
Постельникова Марья Николаевна,26 декабря 1859,-
Пошехонова Елизавета Васильевна,16 октября 1902,60
Пошехоновъ Антонъ Григорьевичъ,26 сентября 1864,-
Пошехоновъ Николай Антоновичъ,9 сентября 1895,-
Приваловъ Павелъ Александровичъ,18 мая 1906,-
Прозорова Варвара Ивановна,20 августа 1868,-
Протасьевъ Николай Петровичъ,27 марта 1823,-
Протасьевъ Павелъ Петровичъ,4 февраля 1852,-
Протасьевъ Петръ Александровичъ,2 ноября 1795,-
Протасьевъ Петръ Петровичъ,15 октября 1809,-
Протопопова Аграфена Петровна,2 октября 1857,-
Протопопова Елена Ивановна,27 іюля 1778,-
Птицынъ Павелъ Александровичъ,6 мая 1900,72
Пузино Константинъ Орестовичъ,29 мая 1884,-
Пузино Орестъ Поликарповичъ,30 іюня 1891,-
Пульхерова Екатерина Ивановна,23 декабря 1884,-
Пупковъ Константинъ Николаевичъ,3 ноября 1887,-
Пусторослева Параскева Андреевна,17 ноября 1758,-
Пустошкинъ Исаакъ Ивановичъ,26 августа 1782,-
Путилова Анна Александровна,25 марта 1873,82
Путилова Екатерина Ивановна,1 мая 1822,-
Путиловъ Иванъ Никифоровичъ,18 ноября 1842,-
Путятинъ Петръ Ивановичъ,27 февраля 1813,-
Пушкинъ Левъ Александровичъ,17 марта 1888,-
Пущина Варвара Ивановна,19 марта 1881,-
Пущинъ Михаилъ Ивановичъ,19 марта 1841,-
Пфефферъ Ольга Ричардовна,13 марта 1894,-
Пшеничниковъ Никифоръ Петровичъ,21 октября 1854,-
Пыжова Анна Александровна,18 мая 1888,56
Пятунинъ Илья Петровичъ,18 декабря 1843,77
Пятунинъ Илья Ильичъ,20 марта 1853,-
Равичъ-Щербо Антонина Михайловна,7 іюля 1884,-
Рагоза Николай Александровичъ,2 января 1856,53
Рагозина Анна Семеновна,3 сентября 1867,80
