Фамилия Имя Отчество,Дата смерти,Количество лет
Боздухановъ Михаилъ Васильевичъ,23 марта 1852,-
Болотникова Надежда Ивановна,24 августа 1910,-
Болотниковъ Николай Павловичъ,9 августа 1903,-
Болотова Каролина Егоровна,31 октября 1902,-
Болотовъ Михаилъ Ксенофонтовичъ,2 марта 1892,-
Борисовъ Андрей Александровичъ,5 мая 1889,-
Борисовъ Андрей Ивановичъ,24 октября 1816,-
Борисовъ Петръ Васильевичъ,18 ноября 1879,-
Борисовъ Стефанъ Ивановичъ,15 октября 1890,-
Борисъ Александровичъ Тверской,10 февраля 1461,-
Борноволоковъ Семенъ Герасимовичъ,20 марта 1835,50
Боровитинова Екатерина Петровна,15 февраля 1896,-
Боровитинова Ольга Михайловна,23 февраля 1810,-
Боровкова Зинаида Александровна,20 марта 1874,-
Ботова Надежда Павловна,25 декабря 1886,80
Бочаровъ Николай Назаровичъ,15 іюля 1858,-
Бошнякъ Константинъ Карловичъ,16 ноября 1863,-
Брантъ Раиса Ивановна,9 сентября 1859,-
Бриммеръ Александръ Панкратьевичъ,22 августа 1877,-
Брунова Екатерина Николаевна,8 сентября 1875,-
Брянчанинова Елена Александровна,21 іюня 1870,-
Брянчанинова Надежда Петровна,13 августа 1846,-
Буланинъ Яковъ Степановичъ,30 мая 1829,-
Булатова Людмила Евграфовна,23 сентября 1904,-
Булыгина Анна Ивановна,14 августа 1881,-
Булыгина Надежда Васильевна,28 января 1908,76
Булыгина Ольга Николаевна,11 декабря 1882,-
Бурнашева Варвара Тихоновна,17 февраля 1853,41
Буровцевъ Николай Александровичъ,2 августа 1901,-
Бурцевъ Каллистратъ Андреевичъ,23 мая 1609,-
Бутеневъ Иванъ Степановичъ,29 августа 1821,-
Бухвостова Елизавета Михайловна,10 января 1906,-
Бухмейеръ Ольга Константиновна,7 октября 1908,-
Быковъ Николай Ивановичъ,29 мая 1902,-
Бырдинъ Антонъ Александровичъ,13 августа 1842,-
Быховецъ-Самаринъ Яковъ Васильевичъ,28 сентября 1912,-
Бычкова Пелагея Артемьевна,29 іюня 1820,-
Валуевъ Иванъ Николаевичъ,20 января 1879,-
Валькевичъ Варвара Ивановна,14 марта 1868,-
Кронекъ Клотильда Адамовна,8 декабря 1879,-
Вараксинъ Иванъ Ивановичъ,24 декабря 1907,-
Вараксинъ Нилъ Николаевичъ,9 ноября 1887,-
Варенцова Екатерина Павловна,31 мая 1827,-
Васильева Анна Николаевна,1 августа 1907,-
Васильченко Прасковья Павловна,16 імарта 1890,77
Васильчикова Анна Александровна,21 іюня 1836,-
Васильчиковъ Александръ Васильевичъ,31 мая 1842,-
Васильчиковъ Николай Николаевичъ,1 января 1846,-
Васькова Александра Николаевна,27 октября 1877,-
Васьковъ Константинъ Константиновичъ,15 іюля 1890,-
Вахрова Александра Ивановна,12 октября 1869,-
Веверъ Васса Лукьяновна,7 февраля 1908,-
Вейссъ Людвигъ Августовичъ,2 августа 1878,57
Вельяшева Екатерина Ивановна,1 декабря 1794,60
Вельяшевъ Петръ Ивановичъ,26 января 1830,45
Вельяшевъ Петръ Ивановичъ,19 марта 1897,-
Венгеровъ Иванъ Андреевичъ,21 декабря 1897,72
Венгерская Ирина Ивановна,17 января 1798,-
