upos,Count,Proportion
PUNCT,4166,0.2526379624014554
NOUN,2563,0.15542753183747726
VERB,2437,0.1477865372953305
PRON,1453,0.08811400848999394
ADP,1258,0.07628865979381444
ADV,1021,0.06191631291691935
PART,743,0.04505761067313523
CCONJ,730,0.044269254093389936
ADJ,700,0.04244996967859309
DET,384,0.023286840509399637
PROPN,376,0.022801697998787143
SCONJ,349,0.021164342025469983
AUX,144,0.008732565191024864
NUM,137,0.008308065494238933
INTJ,16,0.0009702850212249849
X,13,0.0007883565797453002
